FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CALL SIGN, ABBREVIATED; ; ;CURRENT / CURRENT;1129/034;1-12;X
2 M;(NU) MISSION NUMBER; ; ;CURRENT / CURRENT;1012/069;1-8;X
3 M;(NU) IFF/SIF MODE AND CODE, NON-HYPHENATED; ; ;CURRENT / CURRENT;2500/001;3-5;N
4 M;(NU) LOCATION NAME;NAME;A;CURRENT / CURRENT;1022/004;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BAR;C;CURRENT / CURRENT;2281/001;7-28;X
5 M;(NU) ALTITUDE IN HUNDREDS OF FEET, 0-999; ; ;CURRENT / CURRENT;1255/014;1-3;N
6 M;(NU) DAY-TIME OF AIR REFUELLING CONTROL;ARCT; ;CURRENT / CURRENT;2000/081;7;AN
7 O;(NU) DAY-TIME AND MONTH OF END AIR REFUELLING;NDAR; ;CURRENT / CURRENT;2030/045;10;AN
8 M;(NU) FUEL IN THOUSANDS OF POUNDS, DECIMAL POINT PERMITTED;KLBS; ;CURRENT / CURRENT;1578/004;3-5;NS
9 M;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
10 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
11 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
12 O;(NU) REFUELLING AIRCRAFT TYPE;ACTYP;A;CURRENT / CURRENT;1015/019;3-6;AN
;(NU) AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;B;CURRENT / CURRENT;1015/018;2-6;AN
13 O;(NU) AERIAL REFUELLING SYSTEM, SPECIFIC; ; ;CURRENT / CURRENT;1579/002;3;A
14 O;(NU) NUMBER OF AIRCRAFT IN CELL; ; ;CURRENT / CURRENT;1044/329;1-2;N
15 O;(NU) CELL SEQUENCE NUMBER; ;A;CURRENT / CURRENT;1012/253;1;N
;(NU) CELL SEQUENCE NUMBERS; ;B;CURRENT / CURRENT;2436/001;3;NS
16 O;(NU) TACAN CHANNEL, RECEIVER AND TANKER; ; ;CURRENT / CURRENT;2486/001;3-7;NS
17 O;(NU) BEACON; ; ;CURRENT / CURRENT;2497/001;5;NS
