FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ARRIVAL PLACE NAME; ; ;CURRENT / CURRENT;1022/041;1-38;X
2 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
3 M;(NU) DTG;DTG;A ;CURRENT / CURRENT;2033/001;14;AN
;(NU) DATE, DDMMMYYYY;DMY;B ;CURRENT / CURRENT;2001/001;9;AN
4 M;(NU) SENSOR TYPE; ; ;CURRENT / CURRENT;1434/001;2-6;AN
5 M;(NU) ACOUSTIC INFORMATION SOURCE; ; ;CURRENT / CURRENT;1474/001;2-7;A
6 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;MIN;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;SEC;B;CURRENT / CURRENT;2024/001;15;AN
7 O;(NU) NUMBER OF PERSONS ON BOARD; ; ;CURRENT / CURRENT;1044/341;1-4;N
* 8 O;(NU) CARGO INDICATOR; ;A ;CURRENT / CURRENT;1173/004;3;A
;(NU) TYPE OF DRUG CARGO;DRUG;B ;CURRENT / CURRENT;1173/012;3;A
