FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) BASE NAME;BASE;A;CURRENT / CURRENT;1022/104;1-20;X
;(NU) PLACE NAME;PLACE;B;CURRENT / CURRENT;1022/170;1-20;X
;(NU) TASK ORGANIZATION COMMANDER;CDR;C;CURRENT / CURRENT;1037/003;1-20;X
;(NU) STATION DESIGNATOR;STAT;D;CURRENT / CURRENT;1022/185;1-10;X
;(NU) UNIT DESIGNATION;UNIT;E;CURRENT / CURRENT;1028/026;1-35;X
;(NU) NADGE SITE DESIGNATOR;NADGE;F;CURRENT / CURRENT;1022/206;1-30;X
2 O;(NU) CALL SIGN;CS;A;CURRENT / CURRENT;1129/001;1-38;X
;(NU) CALL SIGN LINE NUMBER;CSLN;B;CURRENT / CURRENT;1012/679;4;N
3 M;(NU) ATDL-1 SUPPORTING UNIT (SU) ADDRESS;AU;A;CURRENT / CURRENT;1625/015;5;AN
;(NU) LINK UNIT LINE NUMBER;LULN;B;CURRENT / CURRENT;1012/603;4;N
4 M;(NU) ATDL-1 TRACK NUMBER BLOCK; ; ;CURRENT / CURRENT;2509/001;11;ANS
5 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ; ;CURRENT / CURRENT;2024/001;15;AN
* 6 O;(NU) LINK DUTY; ; ;CURRENT / CURRENT;1109/002;2-4;AN
