FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TYPE OF AIRCRAFT CONTROL AGENCY; ; ;CURRENT / CURRENT;1395/005;3-5;A
2 M;(NU) CALL SIGN OF CONTROL AGENCY; ; ;CURRENT / CURRENT;1129/010;1-15;X
3 M;(NU) TASKED EQUIPMENT; ; ;CURRENT / CURRENT;1135/024;1-20;X
4 M;(NU) AERIAL MISSION TYPE; ; ;CURRENT / CURRENT;1285/029;2-6;AN
5 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
6 O;(NU) STATE OF EMISSION; ; ;CURRENT / CURRENT;1584/004;1-20;X
7 O;(NU) OPERATIONAL CONTROL AUTHORITY; ; ;CURRENT / CURRENT;1028/008;1-20;X
8 O;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
9 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
