FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PRIMARY AERIAL MISSION TYPE; ; ;CURRENT / CURRENT;1285/031;2-6;AN
2 M;(NU) TASKED UNIT DESIGNATOR; ; ;CURRENT / CURRENT;1028/041;1-30;X
3 M;(NU) MISSION NUMBER; ; ;CURRENT / CURRENT;1012/069;1-8;X
4 O;(NU) CALL SIGN, ABBREVIATED; ; ;CURRENT / CURRENT;1129/034;1-12;X
5 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
6 O;(NU) NUMBER OF AIRCRAFT, 1-99; ; ;CURRENT / CURRENT;1044/322;1-2;N
7 O;(NU) AIRCRAFT TYPE AND MODEL;ACTYP;A;CURRENT / CURRENT;1015/020;2-6;AN
;(NU) AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;B;CURRENT / CURRENT;1015/018;2-6;AN
8 O;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
9 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
