FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CALL SIGN; ; ;CURRENT / CURRENT;1129/001;1-38;X
2 M;(NU) TRANSMIT FREQUENCY; ;A;CURRENT / CURRENT;2064/015;3-14;ANS
;(NU) TRANSMIT LINE NUMBER;TLN;B;CURRENT / CURRENT;1012/117;3-7;AN
3 M;(NU) RECEIVE FREQUENCY; ;A;CURRENT / CURRENT;2064/016;3-14;ANS
;(NU) RECEIVE LINE NUMBER;RLN;B;CURRENT / CURRENT;1012/118;3-7;AN
4 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;POSIT;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) REFERENCE POINT NAME;NAME;B;CURRENT / CURRENT;1022/002;1-38;X
;(NU) BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;CURRENT / CURRENT;2307/001;10-27;ANBS
5 O;(NU) MARITIME ALTITUDE IN HUNDREDS OF FEET; ;A;CURRENT / CURRENT;2164/001;6;AN
;(NU) FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/001;5;AN
