FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) OBSTACLE NUMBER; ;A;CURRENT / CURRENT;2015/001;6;AN
;(NU) OBSTACLE NICKNAME;NAME;B;CURRENT / CURRENT;1022/168;1-21;X
2 O;(NU) OBSTACLE ZONE/BELT NUMBER; ;A;CURRENT / CURRENT;1012/141;1-14;AN
;(NU) OBSTACLE ZONE/BELT NAME;NAME;B;CURRENT / CURRENT;1022/169;1-12;AN
3 O;(NU) TASK SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/132;1-10;X
* 4 M;(NU) LOCATION, UTM 1-METRE; ;A;CURRENT / CURRENT;2089/020;15;AN
;(NU) LOCATION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/020;13;AN
;(NU) LOCATION, UTM 100-METRE; ;C;CURRENT / CURRENT;2087/020;11;AN
;(NU) LOCATION, UTM 1,000-METRE; ;D;CURRENT / CURRENT;2088/020;9;AN
* 5 M;(NU) OBSTACLE TYPE, ABBREVIATED; ; ;CURRENT / CURRENT;1270/002;2;A
* 6 M;(NU) GENERIC LAND MINE TYPE; ; ;CURRENT / CURRENT;1210/004;1;A
* 7 M;(NU) OBSTACLE STATUS; ; ;CURRENT / CURRENT;1236/017;3;A
