FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DTG; ;A;CURRENT / CURRENT;2033/001;14;AN
;(NU) DAY-TIME; ;B;CURRENT / CURRENT;2000/001;7;AN
;(NU) DAY-TIME AND MONTH; ;C;CURRENT / CURRENT;2030/001;10;AN
2 M;(NU) PRIMARY BROADCAST IDENTIFIER; ; ;CURRENT / CURRENT;2144/002;4-5;AN
3 M;(NU) PRIMARY BROADCAST KEYMAT; ; ;CURRENT / CURRENT;1078/002;8-10;AN
4 M;(NU) SECONDARY BROADCAST IDENTIFIER; ; ;CURRENT / CURRENT;2144/003;4-5;AN
5 M;(NU) SECONDARY BROADCAST KEYMAT; ; ;CURRENT / CURRENT;1078/003;8-10;AN
6 M;(NU) NAME OF FIRST-LAST NUMBER COORDINATOR; ; ;CURRENT / CURRENT;1022/125;1-30;X
* 7 M;(NU) NAME OF MISSING NUMBER COORDINATOR; ; ;CURRENT / CURRENT;1022/127;1-30;X
* 8 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
