FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME SET WATCH; ;A;CURRENT / CURRENT;2000/005;7;AN
;(NU) DAY-TIME SET WATCH, VERIFIED; ;B;CURRENT / CURRENT;2013/004;8;AN
2 M;(NU) AREA BROADCAST DESIGNATOR; ;A;CURRENT / CURRENT;2144/001;4-5;AN
;(NU) SHIP-SHORE COMMUNICATION IDENTIFIER;SSCOM;B;CURRENT / CURRENT;2028/001;5-7;ANS
;(NU) NAVAL/AMPHIBIOUS COMMUNICATIONS NET LINE NUMBER; ;C;CURRENT / CURRENT;1012/018;3;N
;(NU) LOCAL/HARBOUR COMMUNICATION IDENTIFIER; ;D;CURRENT / CURRENT;2031/001;6-7;ANS
;(NU) BROADCAST CALL SIGN;BCS;E;CURRENT / CURRENT;1129/004;1-6;AN
;(NU) MULTICHANNEL AREA BROADCAST DESIGNATOR;MCBD;F;CURRENT / CURRENT;2359/001;6-7;AN
* 3 O;(NU) DAY-TIME SHIFT WATCH; ;A;CURRENT / CURRENT;2000/006;7;AN
;(NU) DAY-TIME SHIFT WATCH, VERIFIED; ;B;CURRENT / CURRENT;2013/005;8;AN
* 4 O;(NU) AREA BROADCAST DESIGNATOR; ;A;CURRENT / CURRENT;2144/001;4-5;AN
;(NU) SHIP-SHORE COMMUNICATION IDENTIFIER;SSCOM;B;CURRENT / CURRENT;2028/001;5-7;ANS
;(NU) NAVAL/AMPHIBIOUS COMMUNICATIONS NET LINE NUMBER; ;C;CURRENT / CURRENT;1012/018;3;N
;(NU) LOCAL/HARBOUR COMMUNICATION IDENTIFIER; ;D;CURRENT / CURRENT;2031/001;6-7;ANS
;(NU) BROADCAST CALL SIGN;BCS;E;CURRENT / CURRENT;1129/004;1-6;AN
;(NU) MULTICHANNEL AREA BROADCAST DESIGNATOR;MCBD;F;CURRENT / CURRENT;2359/001;6-7;AN
