FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) BOUNDARY LOWER LIMIT, SPEED IN KNOTS;SPD;A;CURRENT / CURRENT;2370/003;5-6;AN
;(NU) BOUNDARY LOWER LIMIT, FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/005;5;AN
;(NU) BOUNDARY LOWER LIMIT, ALTITUDE IN HUNDREDS OF FEET; ;C;CURRENT / CURRENT;2164/006;6;AN
;(NU) LOWER LIMIT, HEADING;HDG;D;CURRENT / CURRENT;2368/002;4;AN
;(NU) ABOVE MEAN SEA LEVEL DATA QUALIFIER; ;E;CURRENT / CURRENT;1130/041;4;A
* 2 M;(NU) BOUNDARY UPPER LIMIT, SPEED IN KNOTS;SPD;A;CURRENT / CURRENT;2370/002;5-6;AN
;(NU) BOUNDARY UPPER LIMIT, FLIGHT LEVEL; ;B;CURRENT / CURRENT;2129/006;5;AN
;(NU) BOUNDARY UPPER LIMIT, ALTITUDE IN HUNDREDS OF FEET; ;C;CURRENT / CURRENT;2164/007;6;AN
;(NU) UPPER LIMIT, HEADING;HDG;D;CURRENT / CURRENT;2368/003;4;AN
;(NU) ABOVE MEAN SEA LEVEL DATA QUALIFIER; ;E;CURRENT / CURRENT;1130/041;4;A
