FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME OF BEARING; ;A;CURRENT / CURRENT;2000/021;7;AN
;(NU) DAY-TIME OF BEARING, VERIFIED; ;B;CURRENT / CURRENT;2013/028;8;AN
2 M;(NU) BEARING ORIGIN, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/026;14;ANS
;(NU) BEARING ORIGIN, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/002;11;AN
;(NU) REFERENCE POINT IDENTIFIER; ;C;CURRENT / CURRENT;1012/091;2;AN
3 M;(NU) BEARING, DEGREES TRUE; ; ;CURRENT / CURRENT;2253/001;4;AN
4 O;(NU) SECTOR HALF-WIDTH DISTANCE, NAUTICAL MILES; ;A;CURRENT / CURRENT;2280/004;3-6;AN
;(NU) SECTOR HALF-WIDTH (DEGREE); ;B;CURRENT / CURRENT;2278/002;4-6;AN
5 O;(NU) LINE OF BEARING (LOB) RANGE, NAUTICAL MILES; ; ;CURRENT / CURRENT;2272/005;3-7;ANS
6 O;(NU) ACOUSTIC SENSOR; ; ;CURRENT / CURRENT;1434/005;2-6;AN
7 M;(NU) ASW MISSION EVENT; ; ;CURRENT / CURRENT;1224/003;4-7;AS
8 O;(NU) ALPHAMONTH-YEAR; ; ;CURRENT / CURRENT;2556/001;7;AN
