FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DAY-TIME OF SONOBUOY DROP, VERIFIED; ;A;CURRENT / CURRENT;2013/036;8;AN
;(NU) DAY-TIME OF SONOBUOY DROP; ;B;CURRENT / CURRENT;2000/036;7;AN
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;C;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;D;CURRENT / CURRENT;2024/001;15;AN
3 M;(NU) SONOBUOY TYPE; ; ;CURRENT / CURRENT;1444/001;5-8;ANS
4 M;(NU) HYDROPHONE DEPTH, FEET OR METRES, DECIMAL PERMITTED; ; ;CURRENT / CURRENT;2264/002;2-7;ANS
5 M;(NU) SONOBUOY LIFE SETTING, HOURS OR MINUTES; ; ;CURRENT / CURRENT;2288/002;3-6;ANS
6 M;(NU) SONOBUOY CHANNEL NUMBER; ; ;CURRENT / CURRENT;2295/001;4;AN
