FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CAP MISSION; ; ;CURRENT / CURRENT;1285/013;5-8;A
2 M;(NU) AIRCRAFT STATION NUMBER; ;A;CURRENT / CURRENT;1012/120;1-2;N
;(NU) CAP STATION IDENTIFIER; ;B;CURRENT / CURRENT;1246/025;1;A
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;MINS;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) STATION ASSIGNMENT NAME;NAME;B;CURRENT / CURRENT;1022/124;1-8;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;TRUE;C;CURRENT / CURRENT;2281/001;7-28;X
4 M;(NU) FLIGHT LEVEL NUMBER;FL;A;CURRENT / CURRENT;1012/042;3;N
;(NU) ALTITUDE IN HUNDREDS OF FEET;ALT;B;CURRENT / CURRENT;1255/001;3;N
;(NU) ALTITUDE INDICATOR, ABBREVIATED; ;C;CURRENT / CURRENT;1540/003;1;A
5 M;(NU) AXIS, QUALIFIED; ; ;CURRENT / CURRENT;2159/011;4-6;ANS
6 M;(NU) CHANNEL/LEG DISTANCE; ; ;CURRENT / CURRENT;2158/012;2-8;ANS
7 M;(NU) PRIMARY FREQUENCY; ; ;CURRENT / CURRENT;2064/003;3-14;ANS
8 M;(NU) PRIMARY COMMUNICATIONS NET DESIGNATOR; ; ;CURRENT / CURRENT;1305/006;1-10;X
9 M;(NU) MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/002;3-5;AN
10 M;(NU) SECONDARY FREQUENCY; ; ;CURRENT / CURRENT;2064/004;3-14;ANS
11 M;(NU) SECONDARY COMMUNICATIONS NET DESIGNATOR; ; ;CURRENT / CURRENT;1305/007;1-10;X
12 M;(NU) MARITIME COMMUNICATIONS SECONDARY CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/004;3-5;AN
