FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) PLANNED OPERATIONAL COMMAND; ;A ;CURRENT / CURRENT;1028/004;1-13;X
;(NU) PLANNED OPERATIONAL COMMAND UIC;UIC;B ;CURRENT / CURRENT;2141/006;7-9;AN
2 O;(NU) PLANNED OPERATIONAL CONTROL; ;A ;CURRENT / CURRENT;1028/005;1-13;X
;(NU) PLANNED OPERATIONAL CONTROL UIC;UIC;B ;CURRENT / CURRENT;2141/012;7-9;AN
3 O;(NU) PLANNED TASK DESIGNATOR; ; ;CURRENT / CURRENT;1037/002;1-9;X
4 O;(NU) NATIONAL PARENT IDENTIFIER; ;A ;CURRENT / CURRENT;1028/006;1-9;X
;(NU) NATIONAL PARENT UIC;UIC;B ;CURRENT / CURRENT;2141/007;7-9;AN
5 O;(NU) NATO PARENT IDENTIFIER; ;A ;CURRENT / CURRENT;1028/007;1-9;X
;(NU) NATO PARENT UIC;UIC;B ;CURRENT / CURRENT;2141/008;7-9;AN
6 O;(NU) PLANNED TOA COMMAND; ; ;CURRENT / CURRENT;1071/002;2;A
7 O;(NU) PLANNED TOA CONTROL; ; ;CURRENT / CURRENT;1071/003;2;A
