FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PLACE NAME;PLACE;A;CURRENT / CURRENT;1022/170;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BRGRNG;C;CURRENT / CURRENT;2281/001;7-28;X
;(NU) UNIT;UNIT;D;CURRENT / CURRENT;1022/057;1-30;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;E;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;F;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;SEC10THV;G;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;H;CURRENT / CURRENT;2201/001;22;ANS
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT;BRGRNGV;I;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;QPOSIT;J;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;K;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;L;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTM100;M;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;N;CURRENT / CURRENT;2088/001;9;AN
2 M;(NU) RADIUS, YD, KYD OR NM; ; ;CURRENT / CURRENT;2433/001;3-8;ANS
