FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RADIO FREQUENCY; ;A;CURRENT / CURRENT;2064/001;3-14;ANS
;(NU) COMMUNICATIONS NET DESIGNATOR;CND;B;CURRENT / CURRENT;1305/001;1-10;X
;(NU) CIRCUIT TITLE;CCT;C;CURRENT / CURRENT;1022/142;1-30;X
;(NU) COMMUNICATION LINE NUMBER;LINE;D;CURRENT / CURRENT;1012/116;3-7;AN
2 M;(NU) GUARD REQUIREMENTS; ; ;CURRENT / CURRENT;1246/023;1-3;A
3 M;(NU) KEYMAT AND CODES;KEY;A;CURRENT / CURRENT;1078/001;8-12;AN
;(NU) IDENTIFIER, NON-DISCRETE INDICATOR; ;B;CURRENT / CURRENT;1084/004;2-11;AB
* 4 M;(NU) DTG; ;A;CURRENT / CURRENT;2033/001;14;AN
;(NU) DAY-TIME; ;B;CURRENT / CURRENT;2000/001;7;AN
;(NU) DAY-TIME AND MONTH; ;C;CURRENT / CURRENT;2030/001;10;AN
* 5 M;(NU) DTG; ;A;CURRENT / CURRENT;2033/001;14;AN
;(NU) DAY-TIME; ;B;CURRENT / CURRENT;2000/001;7;AN
;(NU) DAY-TIME AND MONTH; ;C;CURRENT / CURRENT;2030/001;10;AN
* 6 M;(NU) UNIT; ;A;CURRENT / CURRENT;1022/057;1-30;X
;(NU) NAVAL TASK DESIGNATOR;NTD;B;CURRENT / CURRENT;2143/002;3-15;ANS
;(NU) GUARD UNIT NAME;GUARD;C;CURRENT / CURRENT;1022/128;1-38;X
* 7 C;(NU) STANDBY UNIT; ; ;CURRENT / CURRENT;1022/062;1-38;X
