FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
* 1 M;(NU) NATO SURFACE CONTACT DESIGNATOR; ;A;CURRENT / CURRENT;2154/001;4;AN
;(NU) NATO SUBMARINE CONTACT DESIGNATOR; ;B;CURRENT / CURRENT;2152/001;4;N
;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;C;CURRENT / CURRENT;2040/001;8;NS
;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR; ;D;CURRENT / CURRENT;1214/001;3;N
;(NU) NATO EXERCISE SURFACE CONTACT DESIGNATOR; ;E;CURRENT / CURRENT;2155/001;5;AN
;(NU) NATO EXERCISE SUBMARINE CONTACT DESIGNATOR; ;F;CURRENT / CURRENT;2153/001;5;AN
;(NU) NATO EXERCISE SUB DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;G;CURRENT / CURRENT;2035/001;9;ANS
;(NU) NATO EXERCISE SUBMARINE DEPLOYMENT DESIGNATOR; ;H;CURRENT / CURRENT;2081/001;4;AN
;(NU) TYPE AND NUMBER OF SHIPS; ;I;CURRENT / CURRENT;2078/001;3-6;AN
;(NU) EXERCISE TYPE AND NUMBER OF SHIPS;XTYPN;J;CURRENT / CURRENT;2070/001;4-7;AN
;(NU) NATO UNDESIGNATED UNIT; ;K;CURRENT / CURRENT;1028/025;5;A
