FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TYPE OF AIRCRAFT CONTROL AGENCY; ; ;CURRENT / CURRENT;1395/005;3-5;A
2 M;(NU) CONTROL AGENCY CALL SIGN, EXTENDED; ; ;CURRENT / CURRENT;1129/030;1-17;X
3 M;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
4 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
5 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
6 O;(NU) LOCATION NAME;NAME;A;CURRENT / CURRENT;1022/004;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) REPORT-IN POINT, LAT/LONG, MINUTES;LATM;C;CURRENT / CURRENT;2023/048;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM;D;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;G;CURRENT / CURRENT;2201/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;H;CURRENT / CURRENT;2200/001;22;ANS
