FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTROL POINT DESIGNATOR; ;A;CURRENT / CURRENT;1362/001;2-8;X
;(NU) CONTROL POINT DESIGNATOR CODE;CPCODE;B;CURRENT / CURRENT;1362/002;2-6;AB
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;C;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;D;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;E;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;F;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;G;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;H;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;I;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;J;CURRENT / CURRENT;2018/001;12;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;K;CURRENT / CURRENT;2016/001;6-46;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;L;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;M;CURRENT / CURRENT;2043/001;14;ANS
;(NU) POSITION OR POINT NAME;N;N;CURRENT / CURRENT;1022/018;1-20;X
3 O;(NU) CONTROL POINT DESCRIPTION; ; ;CURRENT / CURRENT;1363/002;1-20;X
4 O;(NU) MARKER DESCRIPTION; ; ;CURRENT / CURRENT;1363/003;1-20;X
