FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONVOY COMMODORE CALL SIGN; ;A;CURRENT / CURRENT;1129/022;1-28;X
;(NU) OTC CALL SIGN;OTC;B;CURRENT / CURRENT;1129/024;1-28;X
;(NU) NAVAL FORCE CALL SIGN;FORCE;C;CURRENT / CURRENT;1129/020;1-28;X
2 M;(NU) COMMODORE'S SHIP NAME; ;A;CURRENT / CURRENT;1022/052;1-38;X
;(NU) OTC SHIP NAME;OTC;B;CURRENT / CURRENT;1022/077;1-38;X
3 O;(NU) CONVOY VICE COMMODORE CALL SIGN; ;A;CURRENT / CURRENT;1129/023;1-28;X
;(NU) ALTERNATE OTC CALL SIGN;AOTC;B;CURRENT / CURRENT;1129/025;1-28;X
4 O;(NU) VICE COMMODORES SHIP NAME; ;A;CURRENT / CURRENT;1022/078;1-38;X
;(NU) ALTERNATE OTC SHIP NAME;AOTC;B;CURRENT / CURRENT;1022/079;1-38;X
* 5 O;(NU) RADIO FREQUENCY; ; ;CURRENT / CURRENT;2064/001;3-14;ANS
