FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/130;3;N
2 M;(NU) UNIT NAME; ; ;CURRENT / CURRENT;1022/048;1-38;X
3 M;(NU) PEACETIME LOCATION GRID REFERENCE, UTM 1-METRE; ;A;CURRENT / CURRENT;2089/002;15;AN
;(NU) SITE NAME OF PEACETIME LOCATION;PL;B;CURRENT / CURRENT;1022/220;1-38;X
4 O;(NU) DEPARTURE LOCATION GRID REFERENCE, UTM 1-METRE; ;A;CURRENT / CURRENT;2089/003;15;AN
;(NU) DEPARTURE PLACE NAME;DPN;B;CURRENT / CURRENT;1022/042;1-38;X
5 M;(NU) ESTIMATED DAY-TIME AND MONTH OF DEPARTURE; ; ;CURRENT / CURRENT;2030/020;10;AN
6 M;(NU) DAY-TIME AND MONTH OF DEPARTURE; ; ;CURRENT / CURRENT;2030/006;10;AN
7 O;(NU) REASON FOR DELAY; ; ;CURRENT / CURRENT;1318/002;3-8;A
8 M;(NU) MODE OF TRANSPORTATION; ; ;CURRENT / CURRENT;1269/001;2-4;A
9 M;(NU) ESTIMATED DAY-TIME AND MONTH OF ARRIVAL; ; ;CURRENT / CURRENT;2030/038;10;AN
10 M;(NU) LOCATION, UTM 1-METRE; ;A;CURRENT / CURRENT;2089/020;15;AN
;(NU) ARRIVAL PLACE NAME;APN;B;CURRENT / CURRENT;1022/041;1-38;X
