FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATO FORCE CONTACT DESIGNATOR; ;A;CURRENT / CURRENT;2145/001;3;AN
;(NU) NATO EXERCISE FORCE CONTACT DESIGNATOR; ;B;CURRENT / CURRENT;2146/001;4;AN
;(NU) TYPE AND NUMBER OF SHIPS; ;C;CURRENT / CURRENT;2078/001;3-6;AN
;(NU) EXERCISE TYPE AND NUMBER OF SHIPS;XTYPN;D;CURRENT / CURRENT;2070/001;4-7;AN
;(NU) NATO UNDESIGNATED UNIT; ;E;CURRENT / CURRENT;1028/025;5;A
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) PLACE NAME;N;B;CURRENT / CURRENT;1022/170;1-20;X
3 M;(NU) DAY-TIME OF CONTACT, VERIFIED; ;A;CURRENT / CURRENT;2013/014;8;AN
;(NU) DAY-MONTH NAME; ;B;CURRENT / CURRENT;2067/001;5;AN
4 M;(NU) COURSE IN DEGREES TRUE AND SPEED IN KNOTS; ;A;CURRENT / CURRENT;2025/001;5-6;NS
;(NU) MOVEMENT ACTIVITY; ;B;CURRENT / CURRENT;1095/004;2-3;A
5 O;(NU) CONTACT VALIDITY; ; ;CURRENT / CURRENT;2049/001;2;A
