FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DISPOSITION TYPE; ; ;CURRENT / CURRENT;1541/001;2-3;AN
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) FORMATION GUIDE NAME;FG;B;CURRENT / CURRENT;1022/145;1-38;X
;(NU) BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;C;CURRENT / CURRENT;2307/001;10-27;ANBS
;(NU) REFERENCE POINT NAME;REF;D;CURRENT / CURRENT;1022/002;1-38;X
3 M;(NU) VERIFIED COURSE AND SPEED; ;A;CURRENT / CURRENT;2119/002;11-12;ANS
;(NU) IDENTIFIER, NON-DISCRETE INDICATOR; ;B;CURRENT / CURRENT;1084/004;2-11;AB
4 M;(NU) AXIS, QUALIFIED; ; ;CURRENT / CURRENT;2159/011;4-6;ANS
5 M;(NU) INTERVAL/SPACING DISTANCE; ;A;CURRENT / CURRENT;2158/006;2-8;ANS
;(NU) IDENTIFIER, NON-DISCRETE INDICATOR; ;B;CURRENT / CURRENT;1084/004;2-11;AB
* 6 M;(NU) UNIT; ;A;CURRENT / CURRENT;1022/057;1-30;X
;(NU) NAVAL TASK DESIGNATOR;NTD;B;CURRENT / CURRENT;2143/002;3-15;ANS
* 7 M;(NU) STATION ASSIGNMENT NAME; ; ;CURRENT / CURRENT;1022/124;1-8;AN
