FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DIVING PLATFORM TYPE;PLATFORM;A ;CURRENT / CURRENT;1426/003;1-30;X
;(NU) VESSEL TYPE;SHIP;B ;CURRENT / CURRENT;1036/001;2-4;A
2 C;(NU) PLATFORM NAME; ; ;CURRENT / CURRENT;1022/149;1-38;X
3 C;(NU) SHIP NAME; ; ;CURRENT / CURRENT;1022/049;1-38;X
4 C;(NU) FLAG; ; ;CURRENT / CURRENT;1026/003;2;A
5 O;(NU) INTERNATIONAL RADIO CALL SIGN; ; ;CURRENT / CURRENT;1129/003;4-8;AN
6 O;(NU) SHIP LENGTH, FEET OR METRES; ; ;CURRENT / CURRENT;2266/002;2-7;ANS
7 O;(NU) SHIP BEAM, FEET OR METRES; ; ;CURRENT / CURRENT;2352/001;2-6;ANS
8 O;(NU) SHIP DRAFT, FEET OR METRES; ; ;CURRENT / CURRENT;2357/001;2-6;ANS
9 O;(NU) SHIP DISPLACEMENT; ; ;CURRENT / CURRENT;1440/002;1-6;N
10 O;(NU) MINIMUM SPEED IN KNOTS; ; ;CURRENT / CURRENT;1061/005;1-2;N
11 O;(NU) MAXIMUM SPEED IN KNOTS; ; ;CURRENT / CURRENT;1061/006;1-2;N
