FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DATA ENTRY; ; ;CURRENT / CURRENT;1348/001;2;N
2 M;(NU) DROP ZONE INDICATOR; ; ;CURRENT / CURRENT;1246/002;1;A
3 M;(NU) RUN-IN HEADING, DEGREES MAGNETIC; ; ;CURRENT / CURRENT;2186/002;4;AN
4 M;(NU) LENGTH OF DROP ZONE IN METRES OR FEET;LNGTH; ;CURRENT / CURRENT;2189/002;2-6;AN
5 M;(NU) WIDTH OF DROP ZONE IN METRES OR FEET;WIDTH; ;CURRENT / CURRENT;2189/003;2-6;AN
6 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) LOCATION, DECISECONDS; ;B;CURRENT / CURRENT;2187/001;19;ANS
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;C;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;D;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;E;CURRENT / CURRENT;2089/001;15;AN
7 M;(NU) DROP ZONE CALL SIGN; ; ;CURRENT / CURRENT;1129/002;1-20;X
8 M;(NU) ACE UIC;ACE;A;CURRENT / CURRENT;2141/005;7-9;AN
;(NU) UNIT IDENTIFIER; ;B;CURRENT / CURRENT;1028/001;1-20;X
* 9 M;(NU) COMMUNICATIONS CODE; ;A;CURRENT / CURRENT;1149/001;1-14;ANB
;(NU) PRIMARY FREQUENCY;PRI;B;CURRENT / CURRENT;2064/003;3-14;ANS
;(NU) SECONDARY FREQUENCY;SEC;C;CURRENT / CURRENT;2064/004;3-14;ANS
;(NU) TERTIARY FREQUENCY;TER;D;CURRENT / CURRENT;2064/002;3-14;ANS
