FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR; ;A;CURRENT / CURRENT;1214/001;3;N
;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;B;CURRENT / CURRENT;2040/001;8;NS
;(NU) NATO EXERCISE SUBMARINE DEPLOYMENT DESIGNATOR; ;C;CURRENT / CURRENT;2081/001;4;AN
;(NU) NATO EXERCISE SUB DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;D;CURRENT / CURRENT;2035/001;9;ANS
2 M;(NU) SUBMARINE TYPE; ; ;CURRENT / CURRENT;1036/002;2-4;A
3 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
4 M;(NU) SUBMARINE CLASSIFICATION/CONFIDENCE LEVEL; ; ;CURRENT / CURRENT;1123/005;4-6;AN
5 M;(NU) SUBMARINE CLASS NAME;CL;A;CURRENT / CURRENT;1038/001;3-10;X
;(NU) SUBMARINE CLASS DESIGNATOR;SCD;B;CURRENT / CURRENT;1338/001;1-7;AS
;(NU) SUBMARINE PROPULSION TYPE;PROPUL;C;CURRENT / CURRENT;1339/001;3-6;ANS
;(NU) UNKNOWN SUBMARINE CONTACT; ;D;CURRENT / CURRENT;1139/003;7;A
6 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;A;CURRENT / CURRENT;2043/001;14;ANS
;(NU) PLACE NAME;N;B;CURRENT / CURRENT;1022/170;1-20;X
7 O;(NU) DAY-TIME OF CONTACT, VERIFIED; ;A;CURRENT / CURRENT;2013/014;8;AN
;(NU) DAY-MONTH NAME; ;B;CURRENT / CURRENT;2067/001;5;AN
8 O;(NU) COURSE IN DEGREES TRUE AND SPEED IN KNOTS; ;A;CURRENT / CURRENT;2025/001;5-6;NS
;(NU) MOVEMENT ACTIVITY; ;B;CURRENT / CURRENT;1095/004;2-3;A
9 O;(NU) CONTACT VALIDITY; ; ;CURRENT / CURRENT;2049/001;2;A
10 O;(NU) NATO SUBMARINE CONTACT DESIGNATOR; ;A;CURRENT / CURRENT;2152/001;4;N
;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR; ;B;CURRENT / CURRENT;1214/001;3;N
;(NU) NATO SUBMARINE DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;C;CURRENT / CURRENT;2040/001;8;NS
;(NU) NATO EXERCISE SUBMARINE CONTACT DESIGNATOR; ;D;CURRENT / CURRENT;2153/001;5;AN
;(NU) NATO EXERCISE SUBMARINE DEPLOYMENT DESIGNATOR; ;E;CURRENT / CURRENT;2081/001;4;AN
;(NU) NATO EXERCISE SUB DEPLOYMENT DESIGNATOR AND 4-DIGIT YEAR; ;F;CURRENT / CURRENT;2035/001;9;ANS
