FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LOCATION OF SIGHTING, UTM 1-METRE; ;A;CURRENT / CURRENT;2089/005;15;AN
;(NU) LOCATION OF SIGHTING, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/005;13;AN
;(NU) LOCATION OF SIGHTING, UTM 100-METRE; ;C;CURRENT / CURRENT;2087/005;11;AN
;(NU) LOCATION OF SIGHTING, UTM 1000-METRE; ;D;CURRENT / CURRENT;2088/005;9;AN
2 M;(NU) EARLY WARNING BEARING IN DEGREES, TRUE; ; ;CURRENT / CURRENT;1439/003;3-5;NS
3 M;(NU) VERIFIED COUNT OF AIRCRAFT; ; ;CURRENT / CURRENT;2091/001;2-4;ANS
4 M;(NU) AIRCRAFT GENERIC CATEGORY; ; ;CURRENT / CURRENT;1301/001;1-4;A
5 M;(NU) ALTITUDE IN FEET; ;A;CURRENT / CURRENT;1290/001;1-5;N
;(NU) GENERAL INDICATOR OF ALTITUDE; ;B;CURRENT / CURRENT;1540/005;1-2;A
6 M;(NU) AIRCRAFT SPEED IN KILOMETRES PER HOUR; ;A;CURRENT / CURRENT;1267/002;1-4;N
;(NU) GENERAL INDICATOR OF AIRCRAFT SPEED; ;B;CURRENT / CURRENT;1113/002;4-5;A
