FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PLACE NAME;PLACE;A;CURRENT / CURRENT;1022/170;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BRGRNG;C;CURRENT / CURRENT;2281/001;7-28;X
;(NU) UNIT;UNIT;D;CURRENT / CURRENT;1022/057;1-30;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;E;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND;SEC10TH;F;CURRENT / CURRENT;2355/001;20;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE; ;G;CURRENT / CURRENT;2356/001;20;ANS
;(NU) Q-ROUTE POSITION;QPOSIT;H;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM1;I;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;J;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTM100;K;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;L;CURRENT / CURRENT;2088/001;9;AN
2 M;(NU) SEMI-MAJOR AXIS ORIENTATION, DEGREES TRUE; ; ;CURRENT / CURRENT;2256/002;4;AN
3 M;(NU) SEMI-MAJOR AXIS LENGTH, NAUTICAL MILES; ; ;CURRENT / CURRENT;2280/002;3-6;AN
4 M;(NU) SEMI-MINOR AXIS LENGTH, NAUTICAL MILES; ; ;CURRENT / CURRENT;2280/003;3-6;AN
