FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) INCIDENT POSITION, LAT/LONG, MINUTES;LATM;A;CURRENT / CURRENT;2023/018;11;AN
;(NU) LOCATION, UTM 1,000-METRE;UTMK;B;CURRENT / CURRENT;2088/020;9;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;C;CURRENT / CURRENT;2431/001;5-20;X
;(NU) ACTIVITY LOCATION NAME;NAME;D;CURRENT / CURRENT;1022/103;1-20;X
2 M;(NU) DAY-TIME OF EVENT; ; ;CURRENT / CURRENT;2000/009;7;AN
3 M;(NU) FLIGHT LEVEL; ;A;CURRENT / CURRENT;2129/001;5;AN
;(NU) ALTITUDE IN HUNDREDS OF FEET;ALT;B;CURRENT / CURRENT;1255/001;3;N
;(NU) ALTITUDE IN FEET ABOVE GROUND LEVEL (AGL);AGL;C;CURRENT / CURRENT;1290/002;1-5;N
4 M;(NU) NUMBER OF AIRCRAFT, 1-99; ; ;CURRENT / CURRENT;1044/322;1-2;N
5 M;(NU) AIRCRAFT TYPE AND MODEL; ; ;CURRENT / CURRENT;1015/020;2-6;AN
6 O;(NU) NATIONALITY; ; ;CURRENT / CURRENT;1026/002;2;A
7 M;(NU) ENEMY ALTITUDE IN HUNDREDS OF FEET; ; ;CURRENT / CURRENT;1255/015;3;N
8 M;(NU) ENEMY HEADING IN DEGREES, TRUE; ; ;CURRENT / CURRENT;1791/009;3;N
9 M;(NU) ENEMY AIRCRAFT SPEED; ; ;CURRENT / CURRENT;2063/009;4-7;ANS
10 M;(NU) DESCRIPTION OF ENEMY FORMATION; ; ;CURRENT / CURRENT;1363/050;1-20;X
11 M;(NU) DECRIPTION OF ENEMY MANEUVERS; ; ;CURRENT / CURRENT;1363/051;1-20;X
12 M;(NU) RANGE OF ENEMY MANEUVERS, NAUTICAL MILES; ; ;CURRENT / CURRENT;2272/008;3-7;ANS
13 M;(NU) RADAR WARNING RECEIVER INDICATIONS; ; ;CURRENT / CURRENT;1363/052;1-20;X
14 M;(NU) QUANTITY OF ORDNANCE EXPENDED; ; ;CURRENT / CURRENT;1044/225;1-5;N
15 M;(NU) ORDNANCE/WEAPON TYPE, AIR-TO-AIR; ; ;CURRENT / CURRENT;1407/031;3-6;AN
16 M;(NU) NUMBER OF ENEMY AIRCRAFT DESTROYED; ; ;CURRENT / CURRENT;1044/141;1-2;N
17 M;(NU) DESCRIPTION OF FRIENDLY COUNTERTACTICS; ; ;CURRENT / CURRENT;1363/053;1-38;X
