FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) ENVIRONMENTAL ACOUSTIC INFORMATION SOURCE; ; ;CURRENT / CURRENT;1474/002;2-3;A
2 M;(NU) FREQUENCY OF INTEREST; ; ;CURRENT / CURRENT;2479/003;3-10;ANS
3 M;(NU) PREDICTED FIGURE OF MERIT; ; ;CURRENT / CURRENT;2290/002;3-5;AN
4 M;(NU) PREDICTED FIGURE OF MERIT; ; ;CURRENT / CURRENT;2290/002;3-5;AN
5 M;(NU) ACTUAL FIGURE OF MERIT; ; ;CURRENT / CURRENT;2290/003;3-5;AN
6 M;(NU) PREDICTED MEDIAN DETECTION RNG YARDS, KILOYARDS OR NM; ; ;CURRENT / CURRENT;2275/002;3-8;ANS
7 M;(NU) ACTUAL MEDIAN DETECTION RANGE, YARDS, KILOYARDS OR NM; ; ;CURRENT / CURRENT;2275/003;3-8;ANS
8 O;(NU) BOTTOM BOUNCE DETECTION; ; ;CURRENT / CURRENT;1477/001;3-5;A
9 O;(NU) FIRST CZ MINIMUM-MAXIMUM RANGE; ; ;CURRENT / CURRENT;2289/002;5-11;ANS
10 O;(NU) FIRST CZ SIGNAL EXCESS; ; ;CURRENT / CURRENT;2291/002;3-4;AN
11 O;(NU) SECOND CZ SIGNAL EXCESS; ; ;CURRENT / CURRENT;2291/003;3-4;AN
