FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) UNIT DESIGNATION NAME; ; ;CURRENT / CURRENT;1022/039;1-15;ANS
2 M;(NU) VERIFIED UNIT SIZE INDICATOR; ; ;CURRENT / CURRENT;2392/001;2-8;AS
3 M;(NU) VERIFIED NATIONALITY; ; ;CURRENT / CURRENT;2082/001;3;AS
4 M;(NU) VERIFIED UNIT ROLE INDICATOR CODE 'A'; ; ;CURRENT / CURRENT;2393/001;3-7;AS
5 M;(NU) VERIFIED UNIT ROLE INDICATOR CODE 'B'; ; ;CURRENT / CURRENT;2394/001;3-7;AS
6 M;(NU) VERIFIED UNIT ROLE INDICATOR CODE 'C'; ; ;CURRENT / CURRENT;2395/001;3-7;AS
7 M;(NU) VERIFIED UNIT ROLE INDICATOR CODE 'D'; ; ;CURRENT / CURRENT;2396/001;3-7;AS
8 M;(NU) VERIFIED HIGHER FORMATION NAME; ; ;CURRENT / CURRENT;2397/001;2-16;ANS
9 M;(NU) VERIFIED ARMED SERVICE; ; ;CURRENT / CURRENT;2071/001;2;AS
10 C;(NU) UNIDENTIFIED ENEMY UNIT ADDRESSING NUMBER; ;A ;CURRENT / CURRENT;2150/001;5;AN
;(NU) UNKNOWN ENEMY UNIT ADDRESSING NUMBER; ;B ;CURRENT / CURRENT;2151/001;7;AN
