FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SEQUENCE INDICATOR OF LOCATION OR UNIT TRANSFERRING; ; ;CURRENT / CURRENT;1494/003;1;A
2 M;(NU) CFE EQUIPMENT CHANGE TYPE; ; ;CURRENT / CURRENT;1504/002;3-5;A
3 M;(NU) NUMBER OF ITEMS OF EQUIPMENT RECEIVED OR TRANSFERRED; ; ;CURRENT / CURRENT;1044/098;1-4;N
4 M;(NU) CFE TREATY COUNTRY; ; ;CURRENT / CURRENT;1026/010;2;A
5 C;(NU) GEOGRAPHIC PLACE NAME; ; ;CURRENT / CURRENT;1022/090;1-30;X
6 C;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ; ;CURRENT / CURRENT;2024/001;15;AN
7 O;(NU) DECLARED SITE RECORD NUMBER; ; ;CURRENT / CURRENT;2405/001;7-15;X
8 C;(NU) CFE UNIT RECORD NUMBER; ; ;CURRENT / CURRENT;2306/002;4-15;X
9 C;(NU) DATE OF DEPARTURE, DDMMYYYY; ; ;CURRENT / CURRENT;2052/004;8;N
10 C;(NU) DATE OF ARRIVAL, DDMMYYYY; ; ;CURRENT / CURRENT;2052/005;8;N
11 C;(NU) PROJECTED STAY/ABSENCE IN DAYS; ; ;CURRENT / CURRENT;1055/009;1-3;N
12 O;(NU) REMARK INDICATOR; ; ;CURRENT / CURRENT;2269/001;4-8;X
