FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) INTERCEPT SERIAL NUMBER; ;A;CURRENT / CURRENT;1012/025;3;N
;(NU) EXERCISE INTERCEPT SERIAL NUMBER; ;B;CURRENT / CURRENT;1012/026;4;AN
;(NU) MESSAGE SERIAL NUMBER;MSGSNO;C;CURRENT / CURRENT;1012/007;1-7;N
2 M;(NU) LOCATION OF INTERCEPT PLATFORM, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/033;11;AN
;(NU) INTERCEPT PLATFORM LOCATION, LAT/LONG, MINUTES, VERIFIED; ;B;CURRENT / CURRENT;2043/043;14;ANS
3 M;(NU) DAY-TIME OF INTERCEPT; ;A;CURRENT / CURRENT;2000/016;7;AN
;(NU) DAY-TIME OF INTERCEPT, VERIFIED; ;B;CURRENT / CURRENT;2013/064;8;AN
4 M;(NU) BEARING IN DEGREES, TRUE; ;A;CURRENT / CURRENT;1439/002;3;N
;(NU) BEARING OF SIGNAL FROM INTERCEPTING PLATFORM, DEGREES TRUE; ;B;CURRENT / CURRENT;2253/004;4;AN
5 M;(NU) EMITTER EVALUATION; ; ;CURRENT / CURRENT;1121/002;1-15;X
6 M;(NU) CRYSTAL FREQUENCY IN KILOHERTZ; ;A;CURRENT / CURRENT;1066/002;1-8;NS
;(NU) RADIO FREQUENCY; ;B;CURRENT / CURRENT;2064/001;3-14;ANS
;(NU) FREQUENCY BAND AND CHANNEL; ;C;CURRENT / CURRENT;2136/001;2-4;AN
7 M;(NU) EW CONFIDENCE LEVEL; ;A;CURRENT / CURRENT;1123/002;1;N
;(NU) EW CREDIBILITY; ;B;CURRENT / CURRENT;1123/004;3-4;A
8 M;(NU) NATO DESIGNATOR; ;A;CURRENT / CURRENT;1103/001;3-4;AN
;(NU) EXERCISE NATO DESIGNATOR; ;B;CURRENT / CURRENT;2173/001;4-5;AN
;(NU) EXERCISE PLATFORM EMITTING SIGNAL SERIAL NUMBER;XPLAT;C;CURRENT / CURRENT;1012/028;4;AN
;(NU) PLATFORM EMITTING SIGNAL SERIAL NUMBER;PESSN;D;CURRENT / CURRENT;1012/027;3;N
