FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP IDENTIFICATION; ;A;CURRENT / CURRENT;2021/001;4-11;X
;(NU) ICAO LOCATION IDENTIFIER; ;B;CURRENT / CURRENT;1125/001;4;AN
2 M;(NU) DAY-TIME OF DEPARTURE, VERIFIED; ;A;CURRENT / CURRENT;2013/031;8;AN
;(NU) DAY-TIME OF DEPARTURE; ;B;CURRENT / CURRENT;2000/012;7;AN
;(NU) DATE-TIME MONTH OF DEPARTURE, VERIFIED; ;C;CURRENT / CURRENT;2032/007;11;AN
3 M;(NU) DAY-TIME ON STATION, VERIFIED; ;A;CURRENT / CURRENT;2013/016;8;AN
;(NU) DAY-TIME ON STATION; ;B;CURRENT / CURRENT;2000/033;7;AN
;(NU) DATE-TIME MONTH ON-STATION VERIFIED; ;C;CURRENT / CURRENT;2032/018;11;AN
4 M;(NU) DAY-TIME OFF STATION, VERIFIED; ;A;CURRENT / CURRENT;2013/017;8;AN
;(NU) DAY-TIME OFF STATION; ;B;CURRENT / CURRENT;2000/035;7;AN
;(NU) DATE-TIME MONTH OFF-STATION VERIFIED; ;C;CURRENT / CURRENT;2032/019;11;AN
5 M;(NU) DAY-TIME OF ARRIVAL, VERIFIED; ;A;CURRENT / CURRENT;2013/032;8;AN
;(NU) DAY-TIME OF ARRIVAL; ;B;CURRENT / CURRENT;2000/002;7;AN
;(NU) DATE-TIME MONTH OF ARRIVAL, VERIFIED; ;C;CURRENT / CURRENT;2032/006;11;AN
6 M;(NU) SHIP IDENTIFICATION; ;A;CURRENT / CURRENT;2021/001;4-11;X
;(NU) ICAO LOCATION IDENTIFIER; ;B;CURRENT / CURRENT;1125/001;4;AN
7 M;(NU) MISSION NUMBER;MSNNO;A;CURRENT / CURRENT;1012/069;1-8;X
;(NU) SORTIE NUMBER; ;B;CURRENT / CURRENT;1012/065;1-8;X
