FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTROL AGENCY CALL SIGN, EXTENDED; ; ;CURRENT / CURRENT;1129/030;1-17;X
2 M;(NU) PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;CURRENT / CURRENT;1068/013;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;CURRENT / CURRENT;1396/002;1-8;AN
3 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;CURRENT / CURRENT;1068/014;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;CURRENT / CURRENT;1396/003;1-8;AN
4 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
5 O;(NU) POSITION OR POINT NAME;NAME;A;CURRENT / CURRENT;1022/018;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;C;CURRENT / CURRENT;2200/001;22;ANS
6 O;(NU) UNIT IDENTIFICATION CODE, SPECIFIC; ; ;CURRENT / CURRENT;1028/039;1-6;AN
