FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTACT SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/067;1-3;N
2 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
3 M;(NU) FISHING VESSEL; ; ;CURRENT / CURRENT;1036/012;2-3;A
4 M;(NU) FLAG; ; ;CURRENT / CURRENT;1026/003;2;A
5 M;(NU) CONTACT PHOTO STATUS; ; ;CURRENT / CURRENT;1450/001;3;A
6 O;(NU) NUMBER OF ADDITIONAL VESSELS IN AREA; ; ;CURRENT / CURRENT;1044/115;1-3;N
7 O;(NU) SHIP PENNANT PREFIX; ; ;CURRENT / CURRENT;1453/001;1-4;A
8 O;(NU) PENNANT NUMBER; ; ;CURRENT / CURRENT;1012/046;1-10;AN
9 O;(NU) SHIP CONTROL NUMBER; ; ;CURRENT / CURRENT;2282/001;6;AN
10 O;(NU) NATO SURFACE CONTACT DESIGNATOR;DESIG;A;CURRENT / CURRENT;2154/001;4;AN
;(NU) DISCRETE IDENTIFIER; ;B;CURRENT / CURRENT;1625/025;4;N
11 O;(NU) VESSEL SUSPICION CODE; ; ;CURRENT / CURRENT;1698/002;2;N
