FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) AIRCRAFT CALL SIGN; ; ;CURRENT / CURRENT;1129/009;1-38;X
2 M;(NU) ICAO DEPARTURE LOCATION;ICAO;A;CURRENT / CURRENT;1125/004;4;AN
;(NU) DEPARTURE PLACE NAME;NAME;B;CURRENT / CURRENT;1022/042;1-38;X
3 M;(NU) NUMBER OF AIRCRAFT ORDERED; ; ;CURRENT / CURRENT;1044/111;1-3;N
4 M;(NU) AIRCRAFT TYPE AND MODEL; ; ;CURRENT / CURRENT;1015/020;2-6;AN
5 M;(NU) DAY-TIME OF TAKEOFF; ; ;CURRENT / CURRENT;2000/075;7;AN
6 O;(NU) ICAO RECOVERY BASE;ICAO;A;CURRENT / CURRENT;1125/005;4;AN
;(NU) RECOVERY BASE POSITION, LAT/LONG, DEGREES;LAT;B;CURRENT / CURRENT;2022/017;7;AN
;(NU) RECOVERY BASE POSITION, LAT/LONG, MINUTES;LATM;C;CURRENT / CURRENT;2023/050;11;AN
;(NU) RECOVERY BASE POSITION, LAT/LONG, SECONDS;LATS;D;CURRENT / CURRENT;2024/031;15;AN
;(NU) RECOVERY BASE POSITION, UTM 1,000-METRE;UTMK;E;CURRENT / CURRENT;2088/030;9;AN
;(NU) RECOVERY BASE POSITION, UTM 100-METRE;UTMO;F;CURRENT / CURRENT;2087/043;11;AN
;(NU) RECOVERY BASE POSITION, UTM 10-METRE;UTMT;G;CURRENT / CURRENT;2086/043;13;AN
;(NU) RECOVERY BASE POSITION, UTM 1-METRE;UTM;H;CURRENT / CURRENT;2089/030;15;AN
;(NU) RECOVERY LOCATION NAME;NAME;I;CURRENT / CURRENT;1022/010;1-20;X
7 O;(NU) DAY-TIME OF LANDING; ; ;CURRENT / CURRENT;2000/076;7;AN
8 O;(NU) CONTROLLING AGENCY LOCATION CODE; ; ;CURRENT / CURRENT;1261/008;4;A
9 O;(NU) UNIT SUPPORTED; ; ;CURRENT / CURRENT;1028/017;1-20;X
* 10 O;(NU) NUMBER AND STATUS OF AIRCRAFT NOT LANDED AT BASE; ; ;CURRENT / CURRENT;2137/001;2-3;AN
