FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) UNIT;UNIT;A;CURRENT / CURRENT;1022/057;1-30;X
;(NU) TASKED UNIT DESIGNATOR;DESIG;B;CURRENT / CURRENT;2143/007;3-15;ANS
2 M;(NU) POSITION OR POINT NAME;NAME;A;CURRENT / CURRENT;1022/018;1-20;X
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REF PT (ABBREV);BAR;B;CURRENT / CURRENT;2431/001;5-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES;LAT;C;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;D;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;E;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE;UTMK;F;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;G;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;H;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM;I;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE;AGEOREFM;J;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;GEOREFM;K;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE;AGEOREFC;L;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;M;CURRENT / CURRENT;2018/001;12;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED;VLATM;N;CURRENT / CURRENT;2043/001;14;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;VLATS;O;CURRENT / CURRENT;2044/001;18;ANS
;(NU) PORT CODE;PORT;P;CURRENT / CURRENT;1182/001;3;A
;(NU) BEARING (TRUE) AND DISTANCE (NM) FROM REFERENCE POINT;BARPT;Q;CURRENT / CURRENT;2495/001;11-27;ANBS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;R;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;S;CURRENT / CURRENT;2201/001;22;ANS
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT;VTBAR;T;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;U;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) VERIFIED BEARING AND DISTANCE;VBAR;V;CURRENT / CURRENT;2204/001;9-16;ANS
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;FBAR;W;CURRENT / CURRENT;2281/001;7-28;X
3 M;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
4 M;(NU) DAY-TIME OF POSITION;TIME;A;CURRENT / CURRENT;2000/018;7;AN
;(NU) DAY-TIME OF POSITION, VERIFIED;VTIME;B;CURRENT / CURRENT;2013/007;8;AN
5 O;(NU) FRIENDLY FORCE COURSE (TRUE) AND SPEED (KNOTS);SPEED;A;CURRENT / CURRENT;2037/003;8-10;ANS
;(NU) COURSE AND APPROXIMATE SPEED;RSPEED;B;CURRENT / CURRENT;2270/001;7-8;AN
6 O;(NU) GEOGRAPHIC ENTITIES, NOTIONAL AND ACTUAL; ; ;CURRENT / CURRENT;1026/016;2;A
7 O;(NU) DISCRETE IDENTIFIER; ; ;CURRENT / CURRENT;1625/025;4;N
