FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) RELATIVE TIME AT POSITION;RTIME;A;CURRENT / CURRENT;2482/002;6;ANS
;(NU) DAY-TIME OF POSITION;DTIME;B;CURRENT / CURRENT;2000/018;7;AN
;(NU) DAY-TIME, VERIFIED;VTIME;C;CURRENT / CURRENT;2013/001;8;AN
2 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;B;CURRENT / CURRENT;2200/001;22;ANS
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BAR;C;CURRENT / CURRENT;2281/001;7-28;X
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;D;CURRENT / CURRENT;2128/001;10;AN
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;AUTMO;E;CURRENT / CURRENT;2126/001;8;AN
3 M;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
4 O;(NU) METHOD OF MARKING FRIENDLY POSITIONS; ; ;CURRENT / CURRENT;1613/002;5-6;A
5 C;(NU) COLOUR; ; ;CURRENT / CURRENT;1138/001;3-6;A
