FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PRIMARY/ALTERNATE TARGET DESIGNATOR; ; ;CURRENT / CURRENT;1076/013;1;A
2 O;(NU) DAY-TIME AND MONTH TASKED ON TARGET;TOT;A;CURRENT / CURRENT;2030/041;10;AN
;(NU) DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;B;CURRENT / CURRENT;2483/002;9;AN
3 C;(NU) NOT EARLIER THAN DAY-TIME AND MONTH;NET; ;CURRENT / CURRENT;2030/046;10;AN
4 C;(NU) NOT LATER THAN DAY-TIME;NLT;A;CURRENT / CURRENT;2000/087;7;AN
;(NU) DAY-TIME AND MONTH OFF TARGET;TOF;B;CURRENT / CURRENT;2030/042;10;AN
5 M;(NU) TARGET/FACILITY NAME; ; ;CURRENT / CURRENT;1022/234;1-38;X
6 O;(NU) TARGET POSITION IDENTIFIER;ID; ;CURRENT / CURRENT;1416/002;1-20;X
7 M;(NU) NON-SHIP TARGET TYPE;NON-SHIP;A;CURRENT / CURRENT;1650/006;2-6;A
;(NU) SHIP TARGET TYPE;SHIP;B;CURRENT / CURRENT;1036/011;2-6;A
8 O;(NU) DESIRED MEAN POINT OF IMPACT DESCRIPTION; ; ;CURRENT / CURRENT;1363/044;1-30;X
9 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;DMPIS;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;DMPIM;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) LOCATION, DECISECONDS;DMPID;C;CURRENT / CURRENT;2187/001;19;ANS
;(NU) GEOGRAPHIC LOCATION, LAT/LONG, CENTISECONDS;DMPIC;D;CURRENT / CURRENT;2488/001;19;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, THOUSANDTHS OF MINUTE;DMPIK;E;CURRENT / CURRENT;2496/001;19;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG TEN THOUSANDTHS OF MINUTE;DMPIT;F;CURRENT / CURRENT;2489/001;21;ANS
10 C;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
11 O;(NU) DESIRED MEAN POINT OF IMPACT ELEVATION IN FEET OR METRES; ; ;CURRENT / CURRENT;2492/002;2-7;ANS
12 O;(NU) COMPONENT TARGET IDENTIFIER; ; ;CURRENT / CURRENT;1416/005;1-12;X
13 O;(NU) TARGET PRIORITY, LITERAL; ; ;CURRENT / CURRENT;1076/011;1-5;AN
14 O;(NU) TARGET OBJECTIVE; ; ;CURRENT / CURRENT;1456/003;1-15;X
15 O;(NU) LINK 16 TRACK NUMBER REFERENCE FOR PRE-PLANNED TARGET; ; ;CURRENT / CURRENT;1625/027;5;AN
16 O;(NU) ADDITIONAL TARGET IDENTIFICATION FEATURES; ; ;CURRENT / CURRENT;1357/023;1-20;X
