FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) PICK-UP POINT CALL SIGN AND FREQUENCY; ; ;CURRENT / CURRENT;2051/002;5-50;X
2 O;(NU) DESTINATION CALL SIGN AND FREQUENCY; ; ;CURRENT / CURRENT;2051/003;5-50;X
3 O;(NU) BRIEFING CALL SIGN AND FREQUENCY; ; ;CURRENT / CURRENT;2051/004;5-50;X
4 O;(NU) BRIEFING LOCATION, UTM 10-METRE; ;A ;CURRENT / CURRENT;2086/052;13;AN
;(NU) BRIEFING LOCATION, UTM 100-METRE; ;B ;CURRENT / CURRENT;2087/052;11;AN
;(NU) BRIEFING LOCATION, UTM 1,000-METRE; ;C ;CURRENT / CURRENT;2088/035;9;AN
;(NU) BRIEFING LOCATION IDENTIFIER;ID;D;CURRENT / CURRENT;1261/005;1-20;X
;(NU) BRIEFING LOCATION NICKNAME;NN;E;CURRENT / CURRENT;1022/156;1-20;X
5 C;(NU) DEBRIEFING CALL SIGN AND FREQUENCY; ; ;CURRENT / CURRENT;2051/005;5-50;X
6 O;(NU) DEBRIEFING LOCATION, UTM 10-METRE; ;A ;CURRENT / CURRENT;2086/053;13;AN
;(NU) DEBRIEFING LOCATION, UTM 100-METRE; ;B ;CURRENT / CURRENT;2087/053;11;AN
;(NU) DEBRIEFING LOCATION, UTM 1,000-METRE; ;C ;CURRENT / CURRENT;2088/036;9;AN
;(NU) DEBRIEFING LOCATION IDENTIFIER;ID;D;CURRENT / CURRENT;1261/004;1-20;X
;(NU) DEBRIEFING LOCATION NICKNAME;NN;E;CURRENT / CURRENT;1022/157;1-20;X
