FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) HELICOPTER QUANTITY; ; ;CURRENT / CURRENT;1044/270;1-3;N
2 M;(NU) TRANSPORT OR UTILITY HELICOPTER TYPE; ; ;CURRENT / CURRENT;1015/013;2-6;AN
3 M;(NU) HELICOPTER TASK DESCRIPTION; ; ;CURRENT / CURRENT;1363/011;1-20;X
4 M;(NU) PICK-UP POINT, UTM 10-METRE; ;A ;CURRENT / CURRENT;2086/050;13;AN
;(NU) PICK-UP POINT, UTM 100-METRE; ;B ;CURRENT / CURRENT;2087/050;11;AN
;(NU) PICK-UP POINT, UTM 1,000-METRE; ;C ;CURRENT / CURRENT;2088/033;9;AN
;(NU) PICK-UP POINT IDENTIFIER;ID;D ;CURRENT / CURRENT;1261/003;1-20;X
;(NU) PICK-UP POINT NICKNAME;N;E;CURRENT / CURRENT;1022/154;1-20;X
5 M;(NU) DESTINATION OR RECCE TARGET LOCATION, UTM 10-METRE; ;A ;CURRENT / CURRENT;2086/051;13;AN
;(NU) DESTINATION OR RECCE TARGET LOCATION, UTM 100-METRE; ;B ;CURRENT / CURRENT;2087/051;11;AN
;(NU) DESTINATION OR RECCE TARGET LOCATION, UTM 1,000-METRE; ;C ;CURRENT / CURRENT;2088/034;9;AN
;(NU) DESTINATION OR RECCE TARGET IDENTIFIER;ID;D ;CURRENT / CURRENT;1261/002;1-20;X
;(NU) DESTINATION OR RECCE TARGET NICKNAME;N;E;CURRENT / CURRENT;1022/155;1-20;X
