FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) HEADQUARTERS TYPE; ; ;CURRENT / CURRENT;1311/009;3-5;A
2 M;(NU) ACTUAL LOCATION, UTM 1-METRE; ;A;CURRENT / CURRENT;2089/033;15;AN
;(NU) ACTUAL LOCATION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/055;13;AN
;(NU) ACTUAL LOCATION, UTM 100-METRE; ;C;CURRENT / CURRENT;2087/055;11;AN
;(NU) ACTUAL LOCATION, UTM 1,000-METRE; ;D;CURRENT / CURRENT;2088/038;9;AN
3 M;(NU) DTG OF CLOSURE; ; ;CURRENT / CURRENT;2033/057;14;AN
* 4 O;(NU) PLANNED LOCATION, UTM 1-METRE; ;A;CURRENT / CURRENT;2089/034;15;AN
;(NU) PLANNED LOCATION, UTM 10-METRE; ;B;CURRENT / CURRENT;2086/056;13;AN
;(NU) PLANNED LOCATION, UTM 100-METRE; ;C;CURRENT / CURRENT;2087/056;11;AN
;(NU) PLANNED LOCATION, UTM 1,000-METRE; ;D;CURRENT / CURRENT;2088/039;9;AN
* 5 C;(NU) DTG PLANNED TO BECOME EFFECTIVE; ; ;CURRENT / CURRENT;2033/025;14;AN
* 6 C;(NU) DTG OF CLOSURE; ; ;CURRENT / CURRENT;2033/057;14;AN
