FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) IDENTIFICATION GATE NAME; ; ;CURRENT / CURRENT;1022/324;1-20;X
2 M;(NU) FUNCTION OF ID-GATE; ; ;CURRENT / CURRENT;1874/008;7-9;A
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;MINS;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;TRUE;B;CURRENT / CURRENT;2281/001;7-28;X
;(NU) PLACE NAME;NAME;C;CURRENT / CURRENT;1022/170;1-20;X
4 M;(NU) ALTITUDE IN HUNDREDS OF FEET;ALT;A;CURRENT / CURRENT;1255/001;3;N
;(NU) FLIGHT LEVEL NUMBER;FL;B;CURRENT / CURRENT;1012/042;3;N
5 M;(NU) CALL SIGN OF CONTROL AGENCY;CS;A;CURRENT / CURRENT;1129/010;1-15;X
;(NU) SHIP NAME OR AGENCY ASSUMING CONTROL;SHIP;B;CURRENT / CURRENT;1022/023;1-38;X
6 M;(NU) PRIMARY FREQUENCY; ; ;CURRENT / CURRENT;2064/003;3-14;ANS
7 M;(NU) PRIMARY COMMUNICATIONS NET DESIGNATOR; ; ;CURRENT / CURRENT;1305/006;1-10;X
8 M;(NU) MARITIME COMMUNICATIONS PRIMARY CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/002;3-5;AN
9 M;(NU) SECONDARY FREQUENCY; ; ;CURRENT / CURRENT;2064/004;3-14;ANS
10 M;(NU) SECONDARY COMMUNICATIONS NET DESIGNATOR; ; ;CURRENT / CURRENT;1305/007;1-10;X
11 M;(NU) MARITIME COMMUNICATIONS SECONDARY CHANNEL NUMBER; ; ;CURRENT / CURRENT;2080/004;3-5;AN
12 O;(NU) IFF/SIF MODE AND CODE; ;A;CURRENT / CURRENT;2083/001;4-7;ANS
;(NU) AIR IDENTIFYING MANOEUVRE; ;B;CURRENT / CURRENT;1516/003;4-7;A
