FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) GROUNDSITE NAME;GSNM;A;CURRENT / CURRENT;1022/208;1-20;X
;(NU) GROUNDSITE CALL SIGN;GSCS;B;CURRENT / CURRENT;1129/015;1-38;X
;(NU) AIRCRAFT CALL SIGN;ACCS;C;CURRENT / CURRENT;1129/009;1-38;X
2 M;(NU) AIRCRAFT SEQUENTIAL IDENTIFIER;ASI;A;CURRENT / CURRENT;1246/026;3;A
;(NU) GROUNDSITE NUMBER;GS;B;CURRENT / CURRENT;1012/225;2-5;AN
;(NU) AIRCRAFT IJMS TERMINAL NUMBER;ACTN;C;CURRENT / CURRENT;1012/158;2-3;AN
3 M;(NU) MAIN IJMS NET NUMBER; ; ;CURRENT / CURRENT;1012/159;3;N
4 M;(NU) P-MESSAGE TIME SLOT; ; ;CURRENT / CURRENT;2372/001;8;N
5 M;(NU) TIME SLOT BLOCK 1; ; ;CURRENT / CURRENT;2373/008;8;N
6 O;(NU) TIME SLOT BLOCK 2; ; ;CURRENT / CURRENT;2373/009;8;N
7 O;(NU) TIME SLOT BLOCK 3; ; ;CURRENT / CURRENT;2373/010;8;N
8 M;(NU) NET ENTRY TIME SLOT; ; ;CURRENT / CURRENT;2373/007;8;N
9 M;(NU) ECM RESISTANT VOICE (ERV) NET NUMBER; ; ;CURRENT / CURRENT;1012/160;3;N
10 M;(NU) ECM RESISTANT VOICE (ERV) CHANNEL NUMBER; ; ;CURRENT / CURRENT;1012/161;3;AN
