FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) FREQUENCY IN MEGAHERTZ;FREQ;A;CURRENT / CURRENT;1068/001;1-8;NS
;(NU) FREQUENCY DESIGNATOR;DESIG;B;CURRENT / CURRENT;1396/001;1-8;AN
2 M;(NU) IMAGERY RECEIVER CALL SIGN; ; ;CURRENT / CURRENT;1129/032;1-20;X
3 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;B;CURRENT / CURRENT;2023/001;11;AN
;(NU) LOCATION NAME;NAME;C;CURRENT / CURRENT;1022/004;1-20;X
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE;UTM;D;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;UTMT;E;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE;UTMO;F;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED;VGEOK;G;CURRENT / CURRENT;2201/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED;VGEOT;H;CURRENT / CURRENT;2200/001;22;ANS
4 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
5 O;(NU) DAY-TIME OF LINK START; ; ;CURRENT / CURRENT;2000/092;7;AN
6 C;(NU) DAY-TIME OF LINK STOP; ; ;CURRENT / CURRENT;2000/093;7;AN
