FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SENSOR AND IMAGE TYPE; ; ;CURRENT / CURRENT;2409/001;2;A
2 O;(NU) SENSOR POSITION; ; ;CURRENT / CURRENT;1677/003;2-3;AN
3 O;(NU) IMAGE NUMBER; ; ;CURRENT / CURRENT;1012/238;1-14;ANS
4 O;(NU) IMAGE QUALIFIER; ; ;CURRENT / CURRENT;1677/006;1-2;A
5 O;(NU) IMAGERY SCALE; ; ;CURRENT / CURRENT;1079/003;1-6;AN
6 O;(NU) PERCENT OF COVERAGE; ; ;CURRENT / CURRENT;1064/044;1-3;N
7 O;(NU) MAJOR WEATHER CONDITION; ; ;CURRENT / CURRENT;1386/009;2;A
8 O;(NU) ENVIRONMENTAL EFFECTS ON IMAGES; ; ;CURRENT / CURRENT;1730/002;2;A
9 O;(NU) IMAGERY MISSION DATE, YYYYMMDD; ; ;CURRENT / CURRENT;2053/003;8;N
10 O;(NU) MISSION NUMBER; ; ;CURRENT / CURRENT;1012/069;1-8;X
11 O;(NU) PROJECT, REPORT OR MESSAGE IDENTIFIER; ; ;CURRENT / CURRENT;1102/012;2;A
12 O;(NU) ANGLE OF IMAGERY COVERAGE; ;A;CURRENT / CURRENT;1433/002;1;A
;(NU) IMAGERY COVERAGE EXTENT AND MODE; ;B;CURRENT / CURRENT;1677/004;1;A
13 O;(NU) IMAGE QUALITY; ; ;CURRENT / CURRENT;1675/002;1;A
