FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) TARGET CATEGORY PURPOSE; ; ;CURRENT / CURRENT;1435/002;1;A
2 M;(NU) TARGET CATEGORY DESIGNATOR; ; ;CURRENT / CURRENT;1309/004;5-29;ABS
3 M;(NU) INSTALLATION NAME;INST;A;CURRENT / CURRENT;1022/217;1-38;X
;(NU) SITE NAME;SITE;B;CURRENT / CURRENT;1022/068;1-38;X
;(NU) FIELD LOCATION NAME OF ENEMY;FLOC;C;CURRENT / CURRENT;1022/218;1-38;X
;(NU) AREA NAME;AREA;D;CURRENT / CURRENT;1022/069;1-38;X
;(NU) REFERENCE POINT NAME;REF;E;CURRENT / CURRENT;1022/002;1-38;X
4 O;(NU) BASIC ENCYCLOPEDIA NUMBER; ; ;CURRENT / CURRENT;2002/001;10;ANS
5 C;(NU) BASIC ENCYCLOPEDIA NUMBER SUFFIX; ; ;CURRENT / CURRENT;1012/102;2;N
6 O;(NU) RECONNAISSANCE TARGET TYPE; ; ;CURRENT / CURRENT;1309/005;2;N
7 O;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
8 O;(NU) INSTALLATION USER CATEGORY; ; ;CURRENT / CURRENT;1644/001;3-5;A
9 O;(NU) ORDER OF BATTLE INDICATOR; ; ;CURRENT / CURRENT;1670/005;1;A
* 10 O;(NU) ORDER OF BATTLE ITEM; ; ;CURRENT / CURRENT;1650/005;2-7;A
* 11 O;(NU) EVALUATION OF ACCURACY; ; ;CURRENT / CURRENT;1251/001;1;N
