FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
2 M;(NU) NAME, INDIVIDUAL; ; ;CURRENT / CURRENT;1022/013;1-50;X
3 M;(NU) PERSONNEL GENDER; ; ;CURRENT / CURRENT;1286/002;4-6;A
4 M;(NU) PERSONAL IDENTIFICATION NUMBER; ; ;CURRENT / CURRENT;1012/230;1-20;X
5 O;(NU) DISPOSITION OF PERSONAL EFFECTS; ; ;CURRENT / CURRENT;1011/001;5-9;A
6 O;(NU) MILITARY RANK OR RATE AND RATING; ; ;CURRENT / CURRENT;1483/001;3-5;ANS
7 O;(NU) RELIGION; ; ;CURRENT / CURRENT;1016/001;4-31;ABS
8 O;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
9 O;(NU) DATE OF BIRTH, DDMMYYYY; ; ;CURRENT / CURRENT;2052/012;8;N
10 O;(NU) DATE OF INJURY, DDMMYYYY; ;A;CURRENT / CURRENT;2052/014;8;N
;(NU) ESTIMATED DATE OF INJURY, DDMMYYYY;ESTD;B;CURRENT / CURRENT;2052/015;8;N
11 O;(NU) CAUSE OF INJURY; ; ;CURRENT / CURRENT;1557/002;1-20;X
