FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) EQUIPMENT TABLE LINE NUMBER; ; ;CURRENT / CURRENT;2303/001;2-4;AN
2 M;(NU) EQUIPMENT NAME, NO MODEL/VERSION; ; ;CURRENT / CURRENT;1022/151;1-19;X
3 M;(NU) CFE EQUIPMENT MODEL OR MARK DESIGNATOR; ; ;CURRENT / CURRENT;1135/005;1-12;X
4 M;(NU) CFE EQUIPMENT SUBCATEGORY; ; ;CURRENT / CURRENT;1135/006;2-7;A
5 M;(NU) CFE EQUIPMENT RECORD NUMBER; ; ;CURRENT / CURRENT;1012/058;1-15;X
6 C;(NU) NUMBER OF ITEMS OF EQUIPMENT ACCORDING TO NOTIFICATION; ; ;CURRENT / CURRENT;1044/082;1-4;N
7 C;(NU) NUMBER OF ITEMS OF EQUIPMENT ACCORDING TO BRIEFING; ; ;CURRENT / CURRENT;1044/087;1-4;N
8 M;(NU) NUMBER OF ITEMS OF EQUIPMENT COUNTED/OBSERVED; ; ;CURRENT / CURRENT;1044/097;1-4;N
9 C;(NU) MORE OR LESS INDICATOR; ; ;CURRENT / CURRENT;1100/002;1;A
10 O;(NU) REMARK INDICATOR; ; ;CURRENT / CURRENT;2269/001;4-8;X
