FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP IDENTIFICATION;ID;A;CURRENT / CURRENT;2021/001;4-11;X
;(NU) SHIP NAME;SHIP;B;CURRENT / CURRENT;1022/049;1-38;X
;(NU) BASE NAME;BASE;C;CURRENT / CURRENT;1022/104;1-20;X
;(NU) PLACE NAME;PLACE;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) TASK ORGANIZATION COMMANDER;CDR;E;CURRENT / CURRENT;1037/003;1-20;X
;(NU) STATION DESIGNATOR;STAT;F;CURRENT / CURRENT;1022/185;1-10;X
;(NU) UNIT DESIGNATOR;UNIT;G;CURRENT / CURRENT;1028/043;1-24;X
;(NU) AIRCRAFT TYPE AND MODEL;AC;H;CURRENT / CURRENT;1015/020;2-6;AN
2 O;(NU) CALL SIGN;CS;A;CURRENT / CURRENT;1129/001;1-38;X
;(NU) CALL SIGN LINE NUMBER;CSLN;B;CURRENT / CURRENT;1012/679;4;N
3 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
4 M;(NU) PRIMARY JTIDS UNIT (JU) ADDRESS;PRI;A;CURRENT / CURRENT;1625/032;5;N
;(NU) LINK UNIT LINE NUMBER;LULN;B;CURRENT / CURRENT;1012/603;4;N
5 M;(NU) JTIDS OR MIDS DATA TYPE; ; ;CURRENT / CURRENT;1862/012;2-7;ANB
6 C;(NU) LINK 16 TRACK NUMBER BLOCK ASSIGNMENT;BLOCK; ;CURRENT / CURRENT;2616/002;11;ANS
7 C;(NU) IJMS TRACK NUMBER BLOCK ASSIGNMENT; ; ;CURRENT / CURRENT;2365/002;11;NS
8 M;(NU) NETWORK PARTICIPANT IDENTIFIER SEQUENCE NUMBER; ; ;CURRENT / CURRENT;1012/200;1-15;ANS
9 O;(NU) NETWORK PARTICIPATION GROUP NUMBER; ; ;CURRENT / CURRENT;1012/149;1-3;N
10 O;(NU) JTIDS/MIDS TRANSMISSION MODE; ; ;CURRENT / CURRENT;1181/009;2-4;A
11 O;(NU) POWER OUTPUT LEVEL; ; ;CURRENT / CURRENT;1649/002;4;N
12 O;(NU) UNIT USER TYPE; ; ;CURRENT / CURRENT;1644/002;3;A
13 O;(NU) INITIAL ENTRY UNIT TRANSMISSION INDICATOR; ; ;CURRENT / CURRENT;1359/019;1;A
14 O;(NU) NATO TRACK NUMBER ROOT; ; ;CURRENT / CURRENT;1625/007;2;A
15 O;(NU) SECONDARY JTIDS UNIT (JU) ADDRESS; ; ;CURRENT / CURRENT;1625/033;5;N
* 16 O;(NU) LINK 16 FORWARDING TRACK NUMBER BLOCK ASSIGNMENT;FBLOCK; ;CURRENT / CURRENT;2616/003;11;ANS
