FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS;LATS;A;CURRENT / CURRENT;2024/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED;VLATS;B;CURRENT / CURRENT;2044/001;18;ANS
;(NU) POSITION, TRUE BEARING AND RANGE IN NM;BAR;C;CURRENT / CURRENT;2281/001;7-28;X
;(NU) LOCATION NAME;NAME;D;CURRENT / CURRENT;1022/004;1-20;X
;(NU) ICAO LOCATION IDENTIFIER;ID;E;CURRENT / CURRENT;1125/001;4;AN
;(NU) ICAO BASE CODE;ICAO;F;CURRENT / CURRENT;1125/002;4;AN
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 10-METRE;AUTMT;G;CURRENT / CURRENT;2128/001;10;AN
;(NU) GEOGRAPHIC POSITION, UTM ABBREVIATED 100-METRE;UTMO;H;CURRENT / CURRENT;2126/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE;GEOREFC;I;CURRENT / CURRENT;2018/001;12;AN
2 O;(NU) ENEMY ACTION STATUS; ; ;CURRENT / CURRENT;1797/001;3-4;A
3 C;(NU) DAY-TIME AS OF; ; ;CURRENT / CURRENT;2000/030;7;AN
4 O;(NU) METHOD OF MARKING FRIENDLY POSITIONS; ; ;CURRENT / CURRENT;1613/002;5-6;A
5 C;(NU) COLOUR; ; ;CURRENT / CURRENT;1138/001;3-6;A
* 6 O;(NU) CONTACT CALL SIGN;CONTACT;A;CURRENT / CURRENT;1129/031;1-20;X
;(NU) CONTACT NAME;NAME;B;CURRENT / CURRENT;1022/007;1-20;X
* 7 O;(NU) LINK 16 ABBREVIATED CALL SIGN; ; ;CURRENT / CURRENT;1129/041;4;AN
* 8 O;(NU) PRIMARY PHONE NUMBER;PPHON;A;CURRENT / CURRENT;1361/005;3-15;X
;(NU) LANDING SITE PRIMARY FREQUENCY IN MEGAHERTZ;PFREQ;B;CURRENT / CURRENT;1068/012;1-8;NS
;(NU) PRIMARY FREQUENCY DESIGNATOR;PDESIG;C;CURRENT / CURRENT;1396/002;1-8;AN
* 9 O;(NU) SECONDARY PHONE NUMBER;SPHON;A;CURRENT / CURRENT;1361/006;3-15;X
;(NU) LANDING SITE SECONDARY FREQUENCY IN MEGAHERTZ;SFREQ;B;CURRENT / CURRENT;1068/010;1-8;NS
;(NU) SECONDARY FREQUENCY DESIGNATOR;SDESIG;C;CURRENT / CURRENT;1396/003;1-8;AN
