FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) DATA LINK FREQUENCY MODE; ;A;CURRENT / CURRENT;1175/005;2-3;A
;(NU) DATA LINK TRANSMISSION MODE; ;B;CURRENT / CURRENT;1181/002;2-4;A
2 M;(NU) DATA LINK OPERATING MODE; ; ;CURRENT / CURRENT;1378/002;2;A
3 M;(NU) HOURS ATTEMPTED; ; ;CURRENT / CURRENT;1383/003;3-4;NS
4 M;(NU) HOURS SUCCESSFUL; ; ;CURRENT / CURRENT;1383/004;3-4;NS
5 O;(NU) TIME TO ESTABLISH LINK; ; ;CURRENT / CURRENT;1383/005;3-4;NS
6 O;(NU) DATA LINK TRANSMIT-RECEIVE INDICATOR; ; ;CURRENT / CURRENT;1484/001;1-2;A
7 O;(NU) DATA ACCURACY; ; ;CURRENT / CURRENT;1485/001;1;A
8 O;(NU) DATA LINK TRANSMISSION AVERAGE QUALITY; ; ;CURRENT / CURRENT;2297/003;3;AN
9 O;(NU) DATA LINK RECEPTION AVERAGE QUALITY; ; ;CURRENT / CURRENT;2297/002;3;AN
