FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) BASE NAME;BASE;A;CURRENT / CURRENT;1022/104;1-20;X
;(NU) PLACE NAME;PLACE;B;CURRENT / CURRENT;1022/170;1-20;X
;(NU) TASK ORGANIZATION COMMANDER;CDR;C;CURRENT / CURRENT;1037/003;1-20;X
;(NU) STATION DESIGNATOR;STAT;D;CURRENT / CURRENT;1022/185;1-10;X
;(NU) UNIT DESIGNATOR;UNIT;E;CURRENT / CURRENT;1028/043;1-24;X
;(NU) NADGE SITE DESIGNATOR;NADGE;F;CURRENT / CURRENT;1022/206;1-30;X
;(NU) AIR COMMAND AND CONTROL SYSTEM (ACCS) DESIGNATION;ACCS;G;CURRENT / CURRENT;1022/643;1-30;X
2 M;(NU) UNIT CALL SIGN;CS;A;CURRENT / CURRENT;1129/033;1-38;X
;(NU) CALL SIGN LINE NUMBER;CSLN;B;CURRENT / CURRENT;1012/679;4;N
3 M;(NU) LINK 1 REPORTING UNIT NUMBER;LRU;A;CURRENT / CURRENT;1625/011;5;AN
;(NU) LINK UNIT LINE NUMBER;LULN;B;CURRENT / CURRENT;1012/603;4;N
4 M;(NU) LINK 1 TRACK NUMBER BLOCK;BLOCK; ;CURRENT / CURRENT;2480/001;11;ANS
5 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ; ;CURRENT / CURRENT;2024/001;15;AN
