FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP IDENTIFICATION;ID;A;CURRENT / CURRENT;2021/001;4-11;X
;(NU) SHIP NAME;SHIP;B;CURRENT / CURRENT;1022/049;1-38;X
;(NU) BASE NAME;BASE;C;CURRENT / CURRENT;1022/104;1-20;X
;(NU) PLACE NAME;PLACE;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) TASK ORGANIZATION COMMANDER;CDR;E;CURRENT / CURRENT;1037/003;1-20;X
;(NU) UNIT CALL SIGN;CS;F;CURRENT / CURRENT;1129/033;1-38;X
;(NU) STATION DESIGNATOR;STAT;G;CURRENT / CURRENT;1022/185;1-10;X
;(NU) UNIT DESIGNATOR;UNIT;H;CURRENT / CURRENT;1028/043;1-24;X
2 O;(NU) CALL SIGN;CS;A;CURRENT / CURRENT;1129/001;1-38;X
;(NU) CALL SIGN LINE NUMBER;CSLN;B;CURRENT / CURRENT;1012/679;4;N
3 M;(NU) PARTICIPATING UNIT (PU) ADDRESS/NUMBER;PU;A;CURRENT / CURRENT;1625/023;2;N
;(NU) CRYPTO PUBLICATION LINE NUMBER;CL;B;CURRENT / CURRENT;1012/181;4;N
;(NU) PRIMARY JTIDS UNIT (JU) ADDRESS;JU;C;CURRENT / CURRENT;1625/032;5;N
4 M;(NU) LINK 11/11B TRACK NUMBER BLOCK;BLOCK;A;CURRENT / CURRENT;2611/001;9;NS
;(NU) LINK 11 TRACK NUMBER POOL;POOL;B;CURRENT / CURRENT;2611/002;9;NS
5 M;(NU) SATELLITE LINK 16 EQUIPMENT TYPE; ; ;CURRENT / CURRENT;1135/052;3-7;AN
6 M;(NU) SATELLITE GATEWAY CONTROLLER; ; ;CURRENT / CURRENT;1027/078;2-3;A
7 M;(NU) JU DATA SILENT; ; ;CURRENT / CURRENT;1027/079;2-3;A
