FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) LOCATION OF EVENT, PLACE NAME; ;A;CURRENT / CURRENT;1022/022;1-15;X
;(NU) SHIP NAME;SHIP;B;CURRENT / CURRENT;1022/049;1-38;X
2 M;(NU) GEOGRAPHICAL ENTITY; ; ;CURRENT / CURRENT;1026/001;2;A
3 M;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;A;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;B;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;C;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;D;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;E;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;F;CURRENT / CURRENT;2023/001;11;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;G;CURRENT / CURRENT;2024/001;15;AN
;(NU) NICS LOCATION CODE; ;H;CURRENT / CURRENT;1263/001;3-4;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES, VERIFIED; ;I;CURRENT / CURRENT;2043/001;14;ANS
