FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MOVEREP ACTIVITY ACTION; ; ;CURRENT / CURRENT;1207/009;5-7;A
2 M;(NU) MOVEREP ACTIVITY TYPE; ; ;CURRENT / CURRENT;1510/001;3-7;A
3 M;(NU) DTG; ;A;CURRENT / CURRENT;2033/001;14;AN
;(NU) DAY-TIME AND MONTH; ;B;CURRENT / CURRENT;2030/001;10;AN
4 C;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/001;11;AN
;(NU) PLACE NAME;NAME;B;CURRENT / CURRENT;1022/170;1-20;X
5 C;(NU) OPERATIONAL CONTROL AUTHORITY; ; ;CURRENT / CURRENT;1028/008;1-20;X
6 C;(NU) OPERATIONAL COMMAND; ; ;CURRENT / CURRENT;1028/009;1-20;X
7 C;(NU) TACTICAL CONTROL AUTHORITY; ; ;CURRENT / CURRENT;1028/012;1-20;X
8 O;(NU) SHIP MOVEMENT MISSION DESIGNATOR; ; ;CURRENT / CURRENT;1285/008;2-7;A
