FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) VEHICLE DISTANCE IN METRES, AUTOBAHN/FREEWAY;DISTAUT; ;CURRENT / CURRENT;1052/017;1-4;N
2 O;(NU) VEHICLE DISTANCE IN METRES, OTHER ROADS;DISTOTH; ;CURRENT / CURRENT;1052/018;1-4;N
3 O;(NU) AVERAGE SPEED IN KILOMETRES PER HOUR, AUTOBAHNEN/FREEWAYS;SPEEDAUT; ;CURRENT / CURRENT;1267/003;1-2;N
4 O;(NU) AVERAGE SPEED IN KILOMETRES PER HOUR, OTHER ROADS;SPEEDOTH; ;CURRENT / CURRENT;1267/004;1-2;N
5 C;(NU) COLUMN LENGTH, AUTOBAHNEN/FREEWAYS;COLAUT; ;CURRENT / CURRENT;2309/003;2-8;ANS
6 C;(NU) COLUMN LENGTH, OTHER ROADS;COLOTH; ;CURRENT / CURRENT;2309/005;2-8;ANS
7 C;(NU) PASS TIME IN MINUTES, AUTOBAHNEN/FREEWAYS;PASSTAUT; ;CURRENT / CURRENT;1072/029;1-2;N
8 C;(NU) PASS TIME IN MINUTES, OTHER ROADS;PASSTOTH; ;CURRENT / CURRENT;1072/030;1-2;N
9 O;(NU) NUMBER OF MARCHING GROUPS;MARGROUP; ;CURRENT / CURRENT;1044/382;1-3;N
10 O;(NU) NUMBER OF CONVOYS;CONVOYS; ;CURRENT / CURRENT;1044/383;1-3;N
11 O;(NU) NUMBER OF PACKETS;PACKETS; ;CURRENT / CURRENT;1044/384;1-3;N
12 O;(NU) TIME IN MINUTES BETWEEN MARCHING GROUPS;TBMARGR; ;CURRENT / CURRENT;1072/026;1-2;N
13 O;(NU) TIME IN MINUTES BETWEEN CONVOYS;TBCONV; ;CURRENT / CURRENT;1072/027;1-2;N
14 O;(NU) TIME IN MINUTES BETWEEN PACKETS;TBPACK; ;CURRENT / CURRENT;1072/028;1-2;N
15 O;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;ORIGIN;A;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;ORIGIN;B;CURRENT / CURRENT;2086/001;13;AN
16 C;(NU) ORIGINATION COUNTRY; ; ;CURRENT / CURRENT;1026/027;2;A
17 O;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;DESTIN;A;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;DESTIN;B;CURRENT / CURRENT;2086/001;13;AN
18 C;(NU) DESTINATION COUNTRY; ; ;CURRENT / CURRENT;1026/028;2;A
19 M;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;ROUTESP;A;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;ROUTESP;B;CURRENT / CURRENT;2086/001;13;AN
20 C;(NU) START POINT COUNTRY; ; ;CURRENT / CURRENT;1026/029;2;A
21 O;(NU) SEQUENTIAL PRIORITY OF MOVE FROM START POINT;PRIOR; ;CURRENT / CURRENT;1494/006;1-68;X
22 M;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;RELEASE;A;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;RELEASE;B;CURRENT / CURRENT;2086/001;13;AN
23 C;(NU) RELEASE POINT COUNTRY; ; ;CURRENT / CURRENT;1026/030;2;A
* 24 O;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;CONTPT;A;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;CONTPT;B;CURRENT / CURRENT;2086/001;13;AN
* 25 C;(NU) CONTROL/CROSSING POINT COUNTRY; ; ;CURRENT / CURRENT;1026/031;2;A
* 26 O;(NU) REMARKS; ; ;CURRENT / CURRENT;1357/028;1-68;X
* 27 O;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE;HALT;A;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE;HALT;B;CURRENT / CURRENT;2086/001;13;AN
* 28 C;(NU) HALT POINT COUNTRY; ; ;CURRENT / CURRENT;1026/032;2;A
* 29 O;(NU) DURATION OF LONG/SHORT HALTS;DURATION; ;CURRENT / CURRENT;2593/002;5;NS
* 30 O;(NU) REMARKS; ; ;CURRENT / CURRENT;1357/028;1-68;X
