FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MINE RESEEDING INDICATOR; ; ;CURRENT / CURRENT;1152/001;2;AN
2 O;(NU) DELIVERY PLACEMENT ERROR, NAUTICAL MILES, VERIFIED; ; ;CURRENT / CURRENT;2206/003;4-8;ANS
3 O;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
4 O;(NU) INTENDED DELIVERY POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/005;18;ANS
;(NU) INTENDED DELIVERY POSITION, LAT/LONG 1/10 SECOND VERIFIED; ;B;CURRENT / CURRENT;2200/002;22;ANS
;(NU) INTENDED DELIVERY POSITION LAT/LONG 1/1000 MIN, VERIFIED; ;C;CURRENT / CURRENT;2201/002;22;ANS
;(NU) INTENDED DELIVERY POSITION, PLACE NAME;N;D;CURRENT / CURRENT;1022/189;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) INTENDED DELIVERY POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/061;9;AN
;(NU) INTENDED DELIVERY POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/058;11;AN
;(NU) INTENDED DELIVERY POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/058;13;AN
;(NU) INTENDED DELIVERY POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/061;15;AN
;(NU) INTENDED DELIVERY POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/017;6;AN
;(NU) INTENDED DELIVERY POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/004;8;AN
;(NU) INTENDED DELIVERY POSITION, GEOREF, ABBREV, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/002;10;AN
;(NU) INTENDED DELIVERY POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/004;12;AN
5 O;(NU) ACTUAL DELIVERY POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/007;18;ANS
;(NU) ACTUAL DELIVERY POSITION, LAT/LONG 1/10 SECOND VERIFIED; ;B;CURRENT / CURRENT;2200/003;22;ANS
;(NU) ACTUAL DELIVERY POSITION LAT/LONG 1/1000 MIN, VERIFIED; ;C;CURRENT / CURRENT;2201/003;22;ANS
;(NU) ACTUAL DELIVERY POSITION, PLACE NAME;N;D;CURRENT / CURRENT;1022/202;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) ACTUAL DELIVERY POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/062;9;AN
;(NU) ACTUAL DELIVERY POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/059;11;AN
;(NU) ACTUAL DELIVERY POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/059;13;AN
;(NU) ACTUAL DELIVERY POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/062;15;AN
;(NU) ACTUAL DELIVERY POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/018;6;AN
;(NU) ACTUAL DELIVERY POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/002;8;AN
;(NU) ACTUAL DELIVERY POSITION, GEOREF, ABBREV, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/003;10;AN
;(NU) ACTUAL DELIVERY POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/002;12;AN
* 6 O;(NU) DROP QUALITY; ; ;CURRENT / CURRENT;1151/001;1-4;N
