FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SUBMARINE TYPE; ;A;CURRENT / CURRENT;1036/002;2-4;A
;(NU) SURFACE SHIP TYPE; ;B;CURRENT / CURRENT;1036/007;2-4;A
;(NU) AIRCRAFT CATEGORY;AIR;C;CURRENT / CURRENT;1549/001;2-6;A
2 M;(NU) SHIP NAME; ;A;CURRENT / CURRENT;1022/049;1-38;X
;(NU) SHIP CALL SIGN;CALLSIGN;B;CURRENT / CURRENT;1129/007;1-20;X
3 M;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
4 M;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;CURRENT / CURRENT;2201/001;22;ANS
;(NU) PLACE NAME;N;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/001;12;AN
5 O;(NU) COURSE AND SPEED, WITH DECIMAL PLACES, VERIFIED; ; ;CURRENT / CURRENT;2205/001;11-16;ANS
6 O;(NU) DAY-TIME, VERIFIED; ; ;CURRENT / CURRENT;2013/001;8;AN
7 O;(NU) NUMBER OF MINES DETECTED; ; ;CURRENT / CURRENT;1044/057;1-3;N
8 M;(NU) MINE CASE; ; ;CURRENT / CURRENT;1141/001;1;N
9 O;(NU) FIRING SYSTEM; ; ;CURRENT / CURRENT;1601/001;1;A
10 O;(NU) FIRING SYSTEM; ; ;CURRENT / CURRENT;1601/001;1;A
11 O;(NU) FIRING SYSTEM; ; ;CURRENT / CURRENT;1601/001;1;A
12 O;(NU) DETECTION IDENTIFIER; ; ;CURRENT / CURRENT;1585/001;2;N
13 O;(NU) MINE STATUS IDENTIFIER; ; ;CURRENT / CURRENT;1609/001;2;N
14 O;(NU) MINE REFERENCE NUMBER; ; ;CURRENT / CURRENT;1012/186;4-8;ANS
