FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) CONTACT SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/067;1-3;N
2 M;(NU) UNIT; ; ;CURRENT / CURRENT;1022/057;1-30;X
3 M;(NU) MERCHANT VESSEL, GENERIC; ; ;CURRENT / CURRENT;1036/013;2-4;A
4 M;(NU) FLAG; ; ;CURRENT / CURRENT;1026/003;2;A
5 M;(NU) CONTACT PHOTO STATUS; ; ;CURRENT / CURRENT;1450/001;3;A
6 O;(NU) SHIP CONTROL NUMBER; ; ;CURRENT / CURRENT;2282/001;6;AN
7 O;(NU) NATO SURFACE CONTACT DESIGNATOR;DESIG;A;CURRENT / CURRENT;2154/001;4;AN
;(NU) DISCRETE IDENTIFIER; ;B;CURRENT / CURRENT;1625/025;4;N
8 O;(NU) SUSPICION CODE; ; ;CURRENT / CURRENT;1698/001;2;N
* 9 O;(NU) TYPE OF DRUG CARGO;DRUG;A;CURRENT / CURRENT;1173/012;3;A
;(NU) CARGO INDICATOR; ;B;CURRENT / CURRENT;1173/004;3;A
