FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) FLIGHT LEVEL; ; ;CURRENT / CURRENT;2129/001;5;AN
2 M;(NU) WIND DIRECTION, DEGREES TRUE; ;A;CURRENT / CURRENT;2261/001;4;AN
;(NU) WIND DIRECTION QUALIFIER; ;B;CURRENT / CURRENT;1130/005;3;AN
3 M;(NU) WIND SPEED, KNOTS; ; ;CURRENT / CURRENT;2265/003;4-7;ANS
4 M;(NU) VISIBILITY, METRES, KILOMETRES OR NAUTICAL MILES; ; ;CURRENT / CURRENT;2271/001;2-7;ANS
5 M;(NU) WMO SIGNIFICANT PRESENT AND FORECAST WEATHER CODES;WMO;A;CURRENT / CURRENT;1386/007;2-6;A
;(NU) MOST SIGNIFICANT WEATHER CODE; ;B;CURRENT / CURRENT;1386/008;1-3;A
6 M;(NU) AMOUNT OF TURBULENCE; ; ;CURRENT / CURRENT;1386/003;3;A
7 M;(NU) CLOUD COVER; ; ;CURRENT / CURRENT;1387/001;1;N
8 M;(NU) CLOUD TYPE; ; ;CURRENT / CURRENT;1388/001;2;A
9 M;(NU) CLOUD BASE ALTITUDE IN HUNDREDS OF FEET;BASE; ;CURRENT / CURRENT;1255/006;1-3;N
10 M;(NU) CLOUD TOP ALTITUDE IN HUNDREDS OF FEET;TOP; ;CURRENT / CURRENT;1255/007;1-3;N
11 M;(NU) TEMPERATURE, DEGREES CELSIUS OR FAHRENHEIT; ; ;CURRENT / CURRENT;2131/001;2-6;ANS
12 M;(NU) ATMOSPHERIC PRESSURE IN MILLIBARS; ;A;CURRENT / CURRENT;1087/008;3-4;N
;(NU) BAROMETRIC PRESSURE IN INCHES OF MERCURY; ;B;CURRENT / CURRENT;1087/005;5;NS
13 O;(NU) SEA WAVE HEIGHT, FEET OR METRES; ; ;CURRENT / CURRENT;2132/002;2-5;AN
14 O;(NU) WAVE DIRECTION, DEGREES TRUE, MAGNETIC, GRID OR RELATIVE; ; ;CURRENT / CURRENT;2262/001;4;AN
15 O;(NU) SEA STATE; ; ;CURRENT / CURRENT;1392/001;1;N
