FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) IDENTIFICATION OF MINEFIELD;IDCODE;A;CURRENT / CURRENT;2215/001;10;AN
;(NU) MINEFIELD IDENTIFIER; ;B;CURRENT / CURRENT;1261/009;1-20;X
2 M;(NU) CLASSIFICATION OF MINE TYPE; ;A;CURRENT / CURRENT;1210/002;6;A
;(NU) MINE MARK/MOD;MKMOD;B;CURRENT / CURRENT;1022/193;1-15;ANS
3 M;(NU) NUMBER OF MINES TO BE LAID; ; ;CURRENT / CURRENT;1044/060;1-3;N
4 M;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
* 5 M;(NU) MINE LINE POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/029;18;ANS
;(NU) MINE LINE POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;CURRENT / CURRENT;2200/004;22;ANS
;(NU) MINE LINE POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;CURRENT / CURRENT;2201/004;22;ANS
;(NU) MINE LINE POSITION, PLACE NAME;N;D;CURRENT / CURRENT;1022/203;1-20;X
;(NU) MINE LINE, VERIF TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/002;11-36;ANBS
;(NU) MINE LINE, Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/002;7-13;ANS
;(NU) MINE LINE POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/063;9;AN
;(NU) MINE LINE POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/060;11;AN
;(NU) MINE LINE POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/060;13;AN
;(NU) MINE LINE POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/063;15;AN
;(NU) MINE LINE POSITION GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/019;6;AN
;(NU) MINE LINE POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/003;8;AN
;(NU) MINE LINE POSITION, GEOREF, ABBREV, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/004;10;AN
;(NU) MINE LINE POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/003;12;AN
* 6 M;(NU) MINE LINE ORIENTATION AND SPACING, VERIFIED; ; ;CURRENT / CURRENT;2216/001;10-12;ANS
* 7 M;(NU) DEPTH, METRES, VERIFIED; ; ;CURRENT / CURRENT;2217/001;3-5;AN
* 8 M;(NU) ARMING DELAY, MINUTES; ;A;CURRENT / CURRENT;2096/001;4-5;AN
;(NU) ARMING DELAY, HOURS AND MINUTES; ;B;CURRENT / CURRENT;2097/001;7-9;AN
;(NU) ARMING DELAY, DAYS, HOURS AND MINUTES; ;C;CURRENT / CURRENT;2098/001;11-15;AN
* 9 M;(NU) COUNT OF SHIPS PASSED; ;A;CURRENT / CURRENT;1044/079;1-2;N
;(NU) ESTIMATED COUNT OF SHIPS; ;B;CURRENT / CURRENT;2012/001;3-5;NS
* 10 M;(NU) LAYING REFERENCE NUMBER (LRN); ; ;CURRENT / CURRENT;1012/188;2-15;ANS
