FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MINE CASE; ; ;CURRENT / CURRENT;1141/001;1;N
2 O;(NU) FIRING SYSTEM; ; ;CURRENT / CURRENT;1601/001;1;A
3 O;(NU) FIRING SYSTEM; ; ;CURRENT / CURRENT;1601/001;1;A
4 O;(NU) FIRING SYSTEM; ; ;CURRENT / CURRENT;1601/001;1;A
5 O;(NU) MINE REFERENCE NUMBER; ; ;CURRENT / CURRENT;1012/186;4-8;ANS
6 O;(NU) LAYING REFERENCE NUMBER (LRN); ; ;CURRENT / CURRENT;1012/188;2-15;ANS
7 O;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
8 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;CURRENT / CURRENT;2201/001;22;ANS
;(NU) PLACE NAME;N;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/001;12;AN
9 O;(NU) NAVIGATION SYSTEM CODE; ; ;CURRENT / CURRENT;1200/001;1-2;N
10 O;(NU) DAY-TIME, VERIFIED; ; ;CURRENT / CURRENT;2013/001;8;AN
11 O;(NU) OTHER MINE STATUS IDENTIFIER; ;A;CURRENT / CURRENT;1204/003;6;A
;(NU) VERIFIED FLOATING MINE DIRECTION (TRUE); ;B;CURRENT / CURRENT;2218/001;10;AN
;(NU) EXPLODED MINE RELATIVE BEARING AND DISTANCE; ;C;CURRENT / CURRENT;2219/001;12-17;ANS
;(NU) REMOVED MINE BEARING (TRUE) AND DISTANCE, VERIFIED; ;D;CURRENT / CURRENT;2220/001;13-17;ANS
;(NU) MINE STATUS WITH DATE TIME GROUP, VERIFIED; ;E;CURRENT / CURRENT;2221/001;12-14;AN
